time,"	Load0","	Load1","	Load2","	Load3","	Load4","	Load5","	Load6"
2020031710.54.51.44,	1,	1,	1,	1,	1,	1,	1
2020031710.54.52.44,	1,	1,	1,	1,	1,	1,	1
2020031710.54.53.44,	1,	1,	1,	1,	1,	1,	1
2020031710.54.54.44,	1,	1,	1,	1,	1,	1,	1
2020031710.54.55.44,	1,	1,	1,	1,	1,	1,	1
2020031710.54.56.44,	1,	1,	1,	1,	1,	1,	1
2020031710.54.57.44,	1,	1,	1,	1,	1,	1,	1
2020031710.54.58.44,	1,	1,	1,	1,	1,	1,	1
2020031710.54.59.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.00.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.01.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.02.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.03.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.04.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.05.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.06.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.07.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.08.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.09.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.10.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.11.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.12.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.13.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.14.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.15.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.16.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.17.44,	1,	1,	1,	1,	1,	1,	1
2020031710.55.18.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.19.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.20.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.21.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.22.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.23.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.24.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.25.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.26.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.27.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.28.45,	1,	1,	1,	1,	1,	1,	1
