time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020031915.21.24.29,	0,	0,	0,	0,	0,	0,	0
2020031915.21.29.29,	0,	0,	0,	0,	0,	0,	0
2020031915.21.34.29,	0,	0,	0,	0,	0,	0,	0
2020031915.21.39.29,	0,	0,	0,	0,	0,	0,	0
2020031915.21.44.29,	0,	0,	0,	0,	0,	0,	0
2020031915.21.49.29,	0,	0,	0,	0,	0,	0,	0
2020031915.21.54.29,	0,	0,	0,	0,	0,	0,	0
2020031915.21.59.29,	0,	0,	0,	0,	0,	0,	0
2020031915.22.04.29,	0,	0,	0,	0,	0,	0,	0
2020031915.22.09.29,	0,	0,	0,	0,	0,	0,	0
2020031915.22.14.29,	0,	0,	0,	0,	0,	0,	0
2020031915.22.19.29,	0,	0,	0,	0,	0,	0,	0
2020031915.22.24.30,	0,	0,	0,	0,	0,	0,	0
2020031915.22.29.29,	0,	0,	0,	0,	0,	0,	0
2020031915.22.34.30,	0,	0,	0,	0,	0,	0,	0
2020031915.22.39.29,	0,	0,	0,	0,	0,	0,	0
2020031915.22.44.29,	0,	0,	0,	0,	0,	0,	0
2020031915.22.49.30,	0,	0,	0,	0,	0,	0,	0
2020031915.22.54.29,	0,	0,	0,	0,	0,	0,	0
2020031915.22.59.29,	0,	0,	0,	0,	0,	0,	0
2020031915.23.04.29,	0,	0,	0,	0,	0,	0,	0
2020031915.23.09.30,	0,	0,	0,	0,	0,	0,	0
2020031915.23.14.30,	0,	0,	0,	0,	0,	0,	0
2020031915.23.19.30,	0,	0,	0,	0,	0,	0,	0
2020031915.23.24.30,	0,	0,	0,	0,	0,	0,	0
2020031915.23.29.30,	0,	0,	0,	0,	0,	0,	0
2020031915.23.34.30,	0,	0,	0,	0,	0,	0,	0
2020031915.23.39.30,	0,	0,	0,	0,	0,	0,	0
2020031915.23.44.30,	0,	0,	0,	0,	0,	0,	0
2020031915.23.49.30,	0,	0,	0,	0,	0,	0,	0
2020031915.23.54.30,	0,	0,	0,	0,	0,	0,	0
2020031915.23.59.30,	0,	0,	0,	0,	0,	0,	0
2020031915.24.04.30,	0,	0,	0,	0,	0,	0,	0
2020031915.24.09.30,	0,	0,	0,	0,	0,	0,	0
2020031915.24.14.30,	0,	0,	0,	0,	0,	0,	0
2020031915.24.19.30,	0,	0,	0,	0,	0,	0,	0
2020031915.24.24.30,	0,	0,	0,	0,	0,	0,	0
2020031915.24.29.30,	0,	0,	0,	0,	0,	0,	0
2020031915.24.34.30,	0,	0,	0,	0,	0,	0,	0
2020031915.24.39.30,	0,	0,	0,	0,	0,	0,	0
2020031915.24.44.30,	0,	0,	0,	0,	0,	0,	0
2020031915.24.49.30,	0,	0,	0,	0,	0,	0,	0
2020031915.24.54.30,	0,	0,	0,	0,	0,	0,	0
2020031915.24.59.30,	0,	0,	0,	0,	0,	0,	0
2020031915.25.04.30,	0,	0,	0,	0,	0,	0,	0
2020031915.25.09.30,	0,	0,	0,	0,	0,	0,	0
2020031915.25.14.30,	0,	0,	0,	0,	0,	0,	0
2020031915.25.19.30,	0,	0,	0,	0,	0,	0,	0
2020031915.25.24.30,	0,	0,	0,	0,	0,	0,	0
2020031915.25.29.30,	0,	0,	0,	0,	0,	0,	0
2020031915.25.34.30,	0,	0,	0,	0,	0,	0,	0
2020031915.25.39.30,	0,	0,	0,	0,	0,	0,	0
2020031915.25.44.30,	0,	0,	0,	0,	0,	0,	0
2020031915.25.49.30,	0,	0,	0,	0,	0,	0,	0
2020031915.25.54.30,	0,	0,	0,	0,	0,	0,	0
2020031915.25.59.31,	0,	0,	0,	0,	0,	0,	0
2020031915.26.04.30,	0,	0,	0,	0,	0,	0,	0
2020031915.26.09.30,	0,	0,	0,	0,	0,	0,	0
2020031915.26.14.30,	0,	0,	0,	0,	0,	0,	0
2020031915.26.19.30,	0,	0,	0,	0,	0,	0,	0
2020031915.26.24.30,	0,	0,	0,	0,	0,	0,	0
2020031915.26.29.30,	0,	0,	0,	0,	0,	0,	0
2020031915.26.34.31,	0,	0,	0,	0,	0,	0,	0
2020031915.26.39.31,	0,	0,	0,	0,	0,	0,	0
2020031915.26.44.31,	0,	0,	0,	0,	0,	0,	0
2020031915.26.49.31,	0,	0,	0,	0,	0,	0,	0
2020031915.26.54.31,	0,	0,	0,	0,	0,	0,	0
2020031915.26.59.31,	0,	0,	0,	0,	0,	0,	0
2020031915.27.04.31,	0,	0,	0,	0,	0,	0,	0
2020031915.27.09.31,	0,	0,	0,	0,	0,	0,	0
2020031915.27.14.31,	0,	0,	0,	0,	0,	0,	0
2020031915.27.19.31,	0,	0,	0,	0,	0,	0,	0
2020031915.27.24.31,	0,	0,	0,	0,	0,	0,	0
2020031915.27.29.31,	0,	0,	0,	0,	0,	0,	0
2020031915.27.34.31,	0,	0,	0,	0,	0,	0,	0
2020031915.27.39.31,	0,	0,	0,	0,	0,	0,	0
2020031915.27.44.31,	0,	0,	0,	0,	0,	0,	0
2020031915.27.49.31,	0,	0,	0,	0,	0,	0,	0
2020031915.27.54.31,	0,	0,	0,	0,	0,	0,	0
2020031915.27.59.32,	0,	0,	0,	0,	0,	0,	0
2020031915.28.04.32,	0,	0,	0,	0,	0,	0,	0
2020031915.28.09.32,	0,	0,	0,	0,	0,	0,	0
2020031915.28.14.32,	0,	0,	0,	0,	0,	0,	0
2020031915.28.19.32,	0,	0,	0,	0,	0,	0,	0
2020031915.28.24.32,	0,	0,	0,	0,	0,	0,	0
2020031915.28.29.32,	0,	0,	0,	0,	0,	0,	0
2020031915.28.34.32,	0,	0,	0,	0,	0,	0,	0
2020031915.28.39.32,	0,	0,	0,	0,	0,	0,	0
2020031915.28.44.32,	0,	0,	0,	0,	0,	0,	0
2020031915.28.49.32,	0,	0,	0,	0,	0,	0,	0
