time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032810.56.37.02,	1,	1,	1,	1,	1,	1,	1
2020032810.56.42.02,	1,	1,	1,	1,	1,	1,	1
2020032810.56.47.02,	1,	1,	1,	1,	1,	1,	1
2020032810.56.52.02,	1,	1,	1,	1,	1,	1,	1
2020032810.56.57.02,	1,	1,	1,	1,	1,	1,	1
2020032810.57.02.02,	1,	1,	1,	1,	1,	1,	1
2020032810.57.07.02,	1,	1,	1,	1,	1,	1,	1
2020032810.57.12.02,	1,	1,	1,	1,	1,	1,	1
2020032810.57.17.02,	1,	1,	1,	1,	1,	1,	1
2020032810.57.22.02,	1,	1,	1,	1,	1,	1,	1
2020032810.57.27.02,	1,	1,	1,	1,	1,	1,	1
2020032810.57.32.02,	1,	1,	1,	1,	1,	1,	1
2020032810.57.37.02,	1,	1,	1,	1,	1,	1,	1
2020032810.57.42.02,	1,	1,	1,	1,	1,	1,	1
2020032810.57.47.02,	1,	1,	1,	1,	1,	1,	1
2020032810.57.52.02,	1,	1,	1,	1,	1,	1,	1
2020032810.57.57.02,	1,	1,	1,	1,	1,	1,	1
2020032810.58.02.02,	1,	1,	1,	1,	1,	1,	1
2020032810.58.07.02,	1,	1,	1,	1,	1,	1,	1
2020032810.58.12.02,	1,	1,	1,	1,	1,	1,	1
2020032810.58.17.02,	1,	1,	1,	1,	1,	1,	1
2020032810.58.22.02,	1,	1,	1,	1,	1,	1,	1
2020032810.58.27.03,	1,	1,	1,	1,	1,	1,	1
2020032810.58.32.02,	1,	1,	1,	1,	1,	1,	1
2020032810.58.37.03,	1,	1,	1,	1,	1,	1,	1
2020032810.58.42.03,	1,	1,	1,	1,	1,	1,	1
2020032810.58.47.03,	1,	1,	1,	1,	1,	1,	1
2020032810.58.52.03,	1,	1,	1,	1,	1,	1,	1
2020032810.58.57.03,	1,	1,	1,	1,	1,	1,	1
2020032810.59.02.03,	1,	1,	1,	1,	1,	1,	1
2020032810.59.07.03,	1,	1,	1,	1,	1,	1,	1
2020032810.59.12.03,	1,	1,	1,	1,	1,	1,	1
2020032810.59.17.03,	1,	1,	1,	1,	1,	1,	1
2020032810.59.22.03,	1,	1,	1,	1,	1,	1,	1
2020032810.59.27.03,	1,	1,	1,	1,	1,	1,	1
2020032810.59.32.03,	1,	1,	1,	1,	1,	1,	1
2020032810.59.37.03,	1,	1,	1,	1,	1,	1,	1
