time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032901.56.40.31,	1,	1,	1,	1,	1,	1,	1
2020032901.56.45.31,	1,	1,	1,	1,	1,	1,	1
2020032901.56.50.31,	1,	1,	1,	1,	1,	1,	1
2020032901.56.55.31,	1,	1,	1,	1,	1,	1,	1
2020032901.57.00.31,	1,	1,	1,	1,	1,	1,	1
2020032901.57.05.31,	1,	1,	1,	1,	1,	1,	1
2020032901.57.10.31,	1,	1,	1,	1,	1,	1,	1
2020032901.57.15.31,	1,	1,	1,	1,	1,	1,	1
2020032901.57.20.32,	1,	1,	1,	1,	1,	1,	1
2020032901.57.25.32,	1,	1,	1,	1,	1,	1,	1
2020032901.57.30.32,	1,	1,	1,	1,	1,	1,	1
2020032901.57.35.32,	1,	1,	1,	1,	1,	1,	1
2020032901.57.40.32,	1,	1,	1,	1,	1,	1,	1
2020032901.57.45.32,	1,	1,	1,	1,	1,	1,	1
2020032901.57.50.32,	1,	1,	1,	1,	1,	1,	1
2020032901.57.55.32,	1,	1,	1,	1,	1,	1,	1
2020032901.58.00.32,	1,	1,	1,	1,	1,	1,	1
2020032901.58.05.32,	1,	1,	1,	1,	1,	1,	1
2020032901.58.10.32,	1,	1,	1,	1,	1,	1,	1
2020032901.58.15.32,	1,	1,	1,	1,	1,	1,	1
2020032901.58.20.32,	1,	1,	1,	1,	1,	1,	1
2020032901.58.25.32,	1,	1,	1,	1,	1,	1,	1
2020032901.58.30.32,	1,	1,	1,	1,	1,	1,	1
2020032901.58.35.32,	1,	1,	1,	1,	1,	1,	1
2020032901.58.40.32,	1,	1,	1,	1,	1,	1,	1
2020032901.58.45.32,	1,	1,	1,	1,	1,	1,	1
2020032901.58.50.32,	1,	1,	1,	1,	1,	1,	1
2020032901.58.55.32,	1,	1,	1,	1,	1,	1,	1
2020032901.59.00.32,	1,	1,	1,	1,	1,	1,	1
2020032901.59.05.32,	1,	1,	1,	1,	1,	1,	1
2020032901.59.10.32,	1,	1,	1,	1,	1,	1,	1
2020032901.59.15.32,	1,	1,	1,	1,	1,	1,	1
2020032901.59.20.32,	1,	1,	1,	1,	1,	1,	1
2020032901.59.25.32,	1,	1,	1,	1,	1,	1,	1
2020032901.59.30.32,	1,	1,	1,	1,	1,	1,	1
2020032901.59.35.32,	1,	1,	1,	1,	1,	1,	1
2020032901.59.40.32,	1,	1,	1,	1,	1,	1,	1
2020032901.59.45.32,	1,	1,	1,	1,	1,	1,	1
2020032901.59.50.32,	1,	1,	1,	1,	1,	1,	1
2020032901.59.55.32,	1,	1,	1,	1,	1,	1,	1
2020032902.00.00.32,	1,	1,	1,	1,	1,	1,	1
2020032902.00.05.32,	1,	1,	1,	1,	1,	1,	1
2020032902.00.10.32,	1,	1,	1,	1,	1,	1,	1
2020032902.00.15.32,	1,	1,	1,	1,	1,	1,	1
2020032902.00.20.32,	1,	1,	1,	1,	1,	1,	1
2020032902.00.25.32,	1,	1,	1,	1,	1,	1,	1
2020032902.00.30.33,	1,	1,	1,	1,	1,	1,	1
2020032902.00.35.32,	1,	1,	1,	1,	1,	1,	1
2020032902.00.40.32,	1,	1,	1,	1,	1,	1,	1
2020032902.00.45.33,	1,	1,	1,	1,	1,	1,	1
2020032902.00.50.32,	1,	1,	1,	1,	1,	1,	1
2020032902.00.55.33,	1,	1,	1,	1,	1,	1,	1
2020032902.01.00.32,	1,	1,	1,	1,	1,	1,	1
2020032902.01.05.33,	1,	1,	1,	1,	1,	1,	1
2020032902.01.10.32,	1,	1,	1,	1,	1,	1,	1
2020032902.01.15.33,	1,	1,	1,	1,	1,	1,	1
2020032902.01.20.33,	1,	1,	1,	1,	1,	1,	1
2020032902.01.25.33,	1,	1,	1,	1,	1,	1,	1
2020032902.01.30.33,	1,	1,	1,	1,	1,	1,	1
2020032902.01.35.33,	1,	1,	1,	1,	1,	1,	1
2020032902.01.40.33,	1,	1,	1,	1,	1,	1,	1
2020032902.01.45.33,	1,	1,	1,	1,	1,	1,	1
2020032902.01.50.33,	1,	1,	1,	1,	1,	1,	1
2020032902.01.55.33,	1,	1,	1,	1,	1,	1,	1
2020032902.02.00.33,	1,	1,	1,	1,	1,	1,	1
2020032902.02.05.33,	1,	1,	1,	1,	1,	1,	1
2020032902.02.10.33,	1,	1,	1,	1,	1,	1,	1
2020032902.02.15.33,	1,	1,	1,	1,	1,	1,	1
2020032902.02.20.33,	1,	1,	1,	1,	1,	1,	1
2020032902.02.25.33,	1,	1,	1,	1,	1,	1,	1
2020032902.02.30.33,	1,	1,	1,	1,	1,	1,	1
2020032902.02.35.33,	1,	1,	1,	1,	1,	1,	1
2020032902.02.40.33,	1,	1,	1,	1,	1,	1,	1
2020032902.02.45.33,	1,	1,	1,	1,	1,	1,	1
2020032902.02.50.33,	1,	1,	1,	1,	1,	1,	1
2020032902.02.55.33,	1,	1,	1,	1,	1,	1,	1
2020032902.03.00.33,	1,	1,	1,	1,	1,	1,	1
2020032902.03.05.33,	1,	1,	1,	1,	1,	1,	1
2020032902.03.10.33,	1,	1,	1,	1,	1,	1,	1
2020032902.03.15.33,	1,	1,	1,	1,	1,	1,	1
2020032902.03.20.33,	1,	1,	1,	1,	1,	1,	1
2020032902.03.25.33,	1,	1,	1,	1,	1,	1,	1
2020032902.03.30.33,	1,	1,	1,	1,	1,	1,	1
2020032902.03.35.33,	1,	1,	1,	1,	1,	1,	1
2020032902.03.40.33,	1,	1,	1,	1,	1,	1,	1
2020032902.03.45.33,	1,	1,	1,	1,	1,	1,	1
2020032902.03.50.33,	1,	1,	1,	1,	1,	1,	1
2020032902.03.55.33,	1,	1,	1,	1,	1,	1,	1
2020032902.04.00.33,	1,	1,	1,	1,	1,	1,	1
2020032902.04.05.33,	1,	1,	1,	1,	1,	1,	1
2020032902.04.10.33,	1,	1,	1,	1,	1,	1,	1
2020032902.04.15.33,	1,	1,	1,	1,	1,	1,	1
2020032902.04.20.33,	1,	1,	1,	1,	1,	1,	1
2020032902.04.25.34,	1,	1,	1,	1,	1,	1,	1
2020032902.04.30.34,	1,	1,	1,	1,	1,	1,	1
2020032902.04.35.34,	1,	1,	1,	1,	1,	1,	1
2020032902.04.40.34,	1,	1,	1,	1,	1,	1,	1
2020032902.04.45.34,	1,	1,	1,	1,	1,	1,	1
2020032902.04.50.34,	1,	1,	1,	1,	1,	1,	1
2020032902.04.55.34,	1,	1,	1,	1,	1,	1,	1
2020032902.05.00.34,	1,	1,	1,	1,	1,	1,	1
2020032902.05.05.34,	1,	1,	1,	1,	1,	1,	1
2020032902.05.10.34,	1,	1,	1,	1,	1,	1,	1
2020032902.05.15.34,	1,	1,	1,	1,	1,	1,	1
2020032902.05.20.34,	1,	1,	1,	1,	1,	1,	1
2020032902.05.25.34,	1,	1,	1,	1,	1,	1,	1
2020032902.05.30.34,	1,	1,	1,	1,	1,	1,	1
2020032902.05.35.34,	1,	1,	1,	1,	1,	1,	1
2020032902.05.40.34,	1,	1,	1,	1,	1,	1,	1
2020032902.05.45.34,	1,	1,	1,	1,	1,	1,	1
2020032902.05.50.34,	1,	1,	1,	1,	1,	1,	1
2020032902.05.55.34,	1,	1,	1,	1,	1,	1,	1
2020032902.06.00.34,	1,	1,	1,	1,	1,	1,	1
2020032902.06.05.34,	1,	1,	1,	1,	1,	1,	1
2020032902.06.10.34,	1,	1,	1,	1,	1,	1,	1
2020032902.06.15.34,	1,	1,	1,	1,	1,	1,	1
2020032902.06.20.34,	1,	1,	1,	1,	1,	1,	1
2020032902.06.25.34,	1,	1,	1,	1,	1,	1,	1
2020032902.06.30.34,	1,	1,	1,	1,	1,	1,	1
2020032902.06.35.34,	1,	1,	1,	1,	1,	1,	1
2020032902.06.40.34,	1,	1,	1,	1,	1,	1,	1
2020032902.06.45.35,	1,	1,	1,	1,	1,	1,	1
2020032902.06.50.35,	1,	1,	1,	1,	1,	1,	1
2020032902.06.55.35,	1,	1,	1,	1,	1,	1,	1
2020032902.07.00.35,	1,	1,	1,	1,	1,	1,	1
2020032902.07.05.35,	1,	1,	1,	1,	1,	1,	1
2020032902.07.10.35,	1,	1,	1,	1,	1,	1,	1
2020032902.07.15.35,	1,	1,	1,	1,	1,	1,	1
2020032902.07.20.35,	1,	1,	1,	1,	1,	1,	1
2020032902.07.25.35,	1,	1,	1,	1,	1,	1,	1
2020032902.07.30.35,	1,	1,	1,	1,	1,	1,	1
2020032902.07.35.35,	1,	1,	1,	1,	1,	1,	1
2020032902.07.40.35,	1,	1,	1,	1,	1,	1,	1
2020032902.07.45.35,	1,	1,	1,	1,	1,	1,	1
2020032902.07.50.35,	1,	1,	1,	1,	1,	1,	1
2020032902.07.55.35,	1,	1,	1,	1,	1,	1,	1
2020032902.08.00.35,	1,	1,	1,	1,	1,	1,	1
2020032902.08.05.36,	1,	1,	1,	1,	1,	1,	1
2020032902.08.10.35,	1,	1,	1,	1,	1,	1,	1
2020032902.08.15.36,	1,	1,	1,	1,	1,	1,	1
2020032902.08.20.36,	1,	1,	1,	1,	1,	1,	1
2020032902.08.25.36,	1,	1,	1,	1,	1,	1,	1
2020032902.08.30.36,	1,	1,	1,	1,	1,	1,	1
2020032902.08.35.36,	1,	1,	1,	1,	1,	1,	1
2020032902.08.40.36,	1,	1,	1,	1,	1,	1,	1
2020032902.08.45.36,	1,	1,	1,	1,	1,	1,	1
2020032902.08.50.36,	1,	1,	1,	1,	1,	1,	1
2020032902.08.55.36,	1,	1,	1,	1,	1,	1,	1
2020032902.09.00.36,	1,	1,	1,	1,	1,	1,	1
2020032902.09.05.36,	1,	1,	1,	1,	1,	1,	1
2020032902.09.10.36,	1,	1,	1,	1,	1,	1,	1
2020032902.09.15.36,	1,	1,	1,	1,	1,	1,	1
2020032902.09.20.36,	1,	1,	1,	1,	1,	1,	1
2020032902.09.25.36,	1,	1,	1,	1,	1,	1,	1
2020032902.09.30.36,	1,	1,	1,	1,	1,	1,	1
2020032902.09.35.36,	1,	1,	1,	1,	1,	1,	1
2020032902.09.40.36,	1,	1,	1,	1,	1,	1,	1
2020032902.09.45.36,	1,	1,	1,	1,	1,	1,	1
2020032902.09.50.36,	1,	1,	1,	1,	1,	1,	1
2020032902.09.55.36,	1,	1,	1,	1,	1,	1,	1
2020032902.10.00.36,	1,	1,	1,	1,	1,	1,	1
2020032902.10.05.36,	1,	1,	1,	1,	1,	1,	1
2020032902.10.10.36,	1,	1,	1,	1,	1,	1,	1
2020032902.10.15.36,	1,	1,	1,	1,	1,	1,	1
2020032902.10.20.36,	1,	1,	1,	1,	1,	1,	1
2020032902.10.25.37,	1,	1,	1,	1,	1,	1,	1
2020032902.10.30.37,	1,	1,	1,	1,	1,	1,	1
2020032902.10.35.37,	1,	1,	1,	1,	1,	1,	1
2020032902.10.40.37,	1,	1,	1,	1,	1,	1,	1
2020032902.10.45.37,	1,	1,	1,	1,	1,	1,	1
2020032902.10.50.37,	1,	1,	1,	1,	1,	1,	1
2020032902.10.55.37,	1,	1,	1,	1,	1,	1,	1
2020032902.11.00.37,	1,	1,	1,	1,	1,	1,	1
2020032902.11.05.37,	1,	1,	1,	1,	1,	1,	1
2020032902.11.10.37,	1,	1,	1,	1,	1,	1,	1
2020032902.11.15.37,	1,	1,	1,	1,	1,	1,	1
2020032902.11.20.37,	1,	1,	1,	1,	1,	1,	1
2020032902.11.25.37,	1,	1,	1,	1,	1,	1,	1
2020032902.11.30.37,	1,	1,	1,	1,	1,	1,	1
2020032902.11.35.37,	1,	1,	1,	1,	1,	1,	1
2020032902.11.40.37,	1,	1,	1,	1,	1,	1,	1
2020032902.11.45.37,	1,	1,	1,	1,	1,	1,	1
2020032902.11.50.37,	1,	1,	1,	1,	1,	1,	1
2020032902.11.55.37,	1,	1,	1,	1,	1,	1,	1
2020032902.12.00.37,	1,	1,	1,	1,	1,	1,	1
2020032902.12.05.37,	1,	1,	1,	1,	1,	1,	1
2020032902.12.10.37,	1,	1,	1,	1,	1,	1,	1
2020032902.12.15.37,	1,	1,	1,	1,	1,	1,	1
2020032902.12.20.37,	1,	1,	1,	1,	1,	1,	1
2020032902.12.25.37,	1,	1,	1,	1,	1,	1,	1
2020032902.12.30.37,	1,	1,	1,	1,	1,	1,	1
2020032902.12.35.37,	1,	1,	1,	1,	1,	1,	1
2020032902.12.40.37,	1,	1,	1,	1,	1,	1,	1
2020032902.12.45.37,	1,	1,	1,	1,	1,	1,	1
2020032902.12.50.37,	1,	1,	1,	1,	1,	1,	1
2020032902.12.55.37,	1,	1,	1,	1,	1,	1,	1
2020032902.13.00.37,	1,	1,	1,	1,	1,	1,	1
2020032902.13.05.38,	1,	1,	1,	1,	1,	1,	1
2020032902.13.10.38,	1,	1,	1,	1,	1,	1,	1
2020032902.13.15.38,	1,	1,	1,	1,	1,	1,	1
2020032902.13.20.38,	1,	1,	1,	1,	1,	1,	1
2020032902.13.25.38,	1,	1,	1,	1,	1,	1,	1
2020032902.13.30.38,	1,	1,	1,	1,	1,	1,	1
2020032902.13.35.38,	1,	1,	1,	1,	1,	1,	1
2020032902.13.40.38,	1,	1,	1,	1,	1,	1,	1
2020032902.13.45.38,	1,	1,	1,	1,	1,	1,	1
2020032902.13.50.38,	1,	1,	1,	1,	1,	1,	1
2020032902.13.55.38,	1,	1,	1,	1,	1,	1,	1
2020032902.14.00.38,	1,	1,	1,	1,	1,	1,	1
2020032902.14.05.38,	1,	1,	1,	1,	1,	1,	1
2020032902.14.10.38,	1,	1,	1,	1,	1,	1,	1
2020032902.14.15.38,	1,	1,	1,	1,	1,	1,	1
2020032902.14.20.38,	1,	1,	1,	1,	1,	1,	1
2020032902.14.25.38,	1,	1,	1,	1,	1,	1,	1
2020032902.14.30.38,	1,	1,	1,	1,	1,	1,	1
2020032902.14.35.38,	1,	1,	1,	1,	1,	1,	1
2020032902.14.40.38,	1,	1,	1,	1,	1,	1,	1
2020032902.14.45.38,	1,	1,	1,	1,	1,	1,	1
2020032902.14.50.38,	1,	1,	1,	1,	1,	1,	1
2020032902.14.55.38,	1,	1,	1,	1,	1,	1,	1
2020032902.15.00.38,	1,	1,	1,	1,	1,	1,	1
2020032902.15.05.38,	1,	1,	1,	1,	1,	1,	1
2020032902.15.10.38,	1,	1,	1,	1,	1,	1,	1
2020032902.15.15.38,	1,	1,	1,	1,	1,	1,	1
2020032902.15.20.39,	1,	1,	1,	1,	1,	1,	1
2020032902.15.25.39,	1,	1,	1,	1,	1,	1,	1
2020032902.15.30.39,	1,	1,	1,	1,	1,	1,	1
2020032902.15.35.39,	1,	1,	1,	1,	1,	1,	1
2020032902.15.40.39,	1,	1,	1,	1,	1,	1,	1
2020032902.15.45.39,	1,	1,	1,	1,	1,	1,	1
2020032902.15.50.39,	1,	1,	1,	1,	1,	1,	1
2020032902.15.55.39,	1,	1,	1,	1,	1,	1,	1
2020032902.16.00.39,	1,	1,	1,	1,	1,	1,	1
2020032902.16.05.39,	1,	1,	1,	1,	1,	1,	1
2020032902.16.10.39,	1,	1,	1,	1,	1,	1,	1
2020032902.16.15.39,	1,	1,	1,	1,	1,	1,	1
2020032902.16.20.39,	1,	1,	1,	1,	1,	1,	1
2020032902.16.25.39,	1,	1,	1,	1,	1,	1,	1
2020032902.16.30.39,	1,	1,	1,	1,	1,	1,	1
2020032902.16.35.39,	1,	1,	1,	1,	1,	1,	1
2020032902.16.40.39,	1,	1,	1,	1,	1,	1,	1
2020032902.16.45.39,	1,	1,	1,	1,	1,	1,	1
2020032902.16.50.39,	1,	1,	1,	1,	1,	1,	1
2020032902.16.55.39,	1,	1,	1,	1,	1,	1,	1
2020032902.17.00.39,	1,	1,	1,	1,	1,	1,	1
2020032902.17.05.39,	1,	1,	1,	1,	1,	1,	1
2020032902.17.10.39,	1,	1,	1,	1,	1,	1,	1
2020032902.17.15.39,	1,	1,	1,	1,	1,	1,	1
2020032902.17.20.39,	1,	1,	1,	1,	1,	1,	1
2020032902.17.25.39,	1,	1,	1,	1,	1,	1,	1
2020032902.17.30.39,	1,	1,	1,	1,	1,	1,	1
2020032902.17.35.39,	1,	1,	1,	1,	1,	1,	1
2020032902.17.40.39,	1,	1,	1,	1,	1,	1,	1
2020032902.17.45.39,	1,	1,	1,	1,	1,	1,	1
2020032902.17.50.39,	1,	1,	1,	1,	1,	1,	1
2020032902.17.55.40,	1,	1,	1,	1,	1,	1,	1
2020032902.18.00.40,	1,	1,	1,	1,	1,	1,	1
2020032902.18.05.40,	1,	1,	1,	1,	1,	1,	1
2020032902.18.10.40,	1,	1,	1,	1,	1,	1,	1
2020032902.18.15.40,	1,	1,	1,	1,	1,	1,	1
2020032902.18.20.40,	1,	1,	1,	1,	1,	1,	1
2020032902.18.25.40,	1,	1,	1,	1,	1,	1,	1
2020032902.18.30.40,	1,	1,	1,	1,	1,	1,	1
2020032902.18.35.40,	1,	1,	1,	1,	1,	1,	1
2020032902.18.40.40,	1,	1,	1,	1,	1,	1,	1
2020032902.18.45.40,	1,	1,	1,	1,	1,	1,	1
2020032902.18.50.40,	1,	1,	1,	1,	1,	1,	1
2020032902.18.55.40,	1,	1,	1,	1,	1,	1,	1
2020032902.19.00.40,	1,	1,	1,	1,	1,	1,	1
2020032902.19.05.40,	1,	1,	1,	1,	1,	1,	1
2020032902.19.10.40,	1,	1,	1,	1,	1,	1,	1
2020032902.19.15.40,	1,	1,	1,	1,	1,	1,	1
2020032902.19.20.40,	1,	1,	1,	1,	1,	1,	1
2020032902.19.25.40,	1,	1,	1,	1,	1,	1,	1
2020032902.19.30.40,	1,	1,	1,	1,	1,	1,	1
2020032902.19.35.40,	1,	1,	1,	1,	1,	1,	1
2020032902.19.40.40,	1,	1,	1,	1,	1,	1,	1
2020032902.19.45.41,	1,	1,	1,	1,	1,	1,	1
2020032902.19.50.41,	1,	1,	1,	1,	1,	1,	1
2020032902.19.55.41,	1,	1,	1,	1,	1,	1,	1
2020032902.20.00.41,	1,	1,	1,	1,	1,	1,	1
2020032902.20.05.41,	1,	1,	1,	1,	1,	1,	1
2020032902.20.10.41,	1,	1,	1,	1,	1,	1,	1
2020032902.20.15.41,	1,	1,	1,	1,	1,	1,	1
2020032902.20.20.41,	1,	1,	1,	1,	1,	1,	1
2020032902.20.25.41,	1,	1,	1,	1,	1,	1,	1
2020032902.20.30.41,	1,	1,	1,	1,	1,	1,	1
2020032902.20.35.41,	1,	1,	1,	1,	1,	1,	1
