time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020031613.11.13.69,	0,	0,	0,	0,	0,	0,	0
2020031613.11.14.69,	0,	0,	0,	0,	0,	0,	0
2020031613.11.15.69,	0,	0,	0,	0,	0,	0,	0
2020031613.11.16.69,	0,	0,	0,	0,	0,	0,	0
2020031613.11.17.69,	0,	0,	0,	0,	0,	0,	0
2020031613.11.19.02,	0,	0,	0,	0,	0,	0,	0
2020031613.11.20.02,	0,	0,	0,	0,	0,	0,	0
2020031613.11.21.03,	0,	0,	0,	0,	0,	0,	0
2020031613.11.22.03,	0,	0,	0,	0,	0,	0,	0
2020031613.11.23.02,	0,	0,	0,	0,	0,	0,	0
2020031613.11.24.03,	0,	0,	0,	0,	0,	0,	0
2020031613.11.25.03,	0,	0,	0,	0,	0,	0,	0
2020031613.11.26.03,	0,	0,	0,	0,	0,	0,	0
2020031613.11.27.03,	0,	0,	0,	0,	0,	0,	0
2020031613.11.28.03,	0,	0,	0,	0,	0,	0,	0
2020031613.11.29.03,	0,	0,	0,	0,	0,	0,	0
2020031613.11.30.06,	0,	0,	0,	0,	0,	0,	0
2020031613.11.31.06,	0,	0,	0,	0,	0,	0,	0
