time,"	Load0","	Load1","	Load2","	Load3","	Load4","	Load5","	Load6"
2020033011.07.41.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.07.46.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.07.51.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.07.56.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.08.01.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.08.06.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.08.11.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.08.16.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.08.21.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.08.26.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.08.31.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.08.36.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.08.41.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.08.46.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.08.51.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.08.56.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.09.01.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.09.06.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.09.11.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.09.16.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.09.21.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.09.26.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.09.31.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.09.36.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.09.41.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.09.46.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.09.51.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.09.56.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.10.01.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.10.06.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.10.11.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.10.16.07,"	1","	1","	1","	1","	1","	1","	1"
2020033011.10.21.07,"	1","	1","	1","	1","	1","	1","	1"
