time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032314.21.48.18,	0,	0,	0,	0,	0,	0,	0
2020032314.21.53.18,	0,	0,	0,	0,	0,	0,	0
2020032314.21.58.18,	0,	0,	0,	0,	0,	0,	0
2020032314.22.03.18,	0,	0,	0,	0,	0,	0,	0
2020032314.22.08.18,	0,	0,	0,	0,	0,	0,	0
2020032314.22.13.18,	0,	0,	0,	0,	0,	0,	0
2020032314.22.18.18,	0,	0,	0,	0,	0,	0,	0
2020032314.22.23.18,	0,	0,	0,	0,	0,	0,	0
2020032314.22.28.18,	0,	0,	0,	0,	0,	0,	0
2020032314.22.33.18,	0,	0,	0,	0,	0,	0,	0
2020032314.22.38.18,	0,	0,	0,	0,	0,	0,	0
2020032314.22.43.18,	0,	0,	0,	0,	0,	0,	0
2020032314.22.48.18,	0,	0,	0,	0,	0,	0,	0
2020032314.22.53.18,	0,	0,	0,	0,	0,	0,	0
2020032314.22.58.19,	0,	0,	0,	0,	0,	0,	0
2020032314.23.03.19,	0,	0,	0,	0,	0,	0,	0
2020032314.23.08.19,	0,	0,	0,	0,	0,	0,	0
2020032314.23.13.19,	0,	0,	0,	0,	0,	0,	0
2020032314.23.18.19,	0,	0,	0,	0,	0,	0,	0
2020032314.23.23.19,	0,	0,	0,	0,	0,	0,	0
2020032314.23.28.19,	0,	0,	0,	0,	0,	0,	0
2020032314.23.33.19,	0,	0,	0,	0,	0,	0,	0
2020032314.23.38.19,	0,	0,	0,	0,	0,	0,	0
2020032314.23.43.19,	0,	0,	0,	0,	0,	0,	0
2020032314.23.48.19,	0,	0,	0,	0,	0,	0,	0
2020032314.23.53.19,	0,	0,	0,	0,	0,	0,	0
2020032314.23.58.19,	0,	0,	0,	0,	0,	0,	0
2020032314.24.03.19,	0,	0,	0,	0,	0,	0,	0
2020032314.24.08.19,	0,	0,	0,	0,	0,	0,	0
2020032314.24.13.19,	0,	0,	0,	0,	0,	0,	0
2020032314.24.18.19,	0,	0,	0,	0,	0,	0,	0
2020032314.24.23.19,	0,	0,	0,	0,	0,	0,	0
2020032314.24.28.19,	0,	0,	0,	0,	0,	0,	0
2020032314.24.33.19,	0,	0,	0,	0,	0,	0,	0
2020032314.24.38.19,	0,	0,	0,	0,	0,	0,	0
2020032314.24.43.19,	0,	0,	0,	0,	0,	0,	0
2020032314.24.48.20,	0,	0,	0,	0,	0,	0,	0
2020032314.24.53.20,	0,	0,	0,	0,	0,	0,	0
2020032314.24.58.20,	1,	1,	1,	1,	1,	1,	1
2020032314.25.03.20,	1,	1,	1,	1,	1,	1,	1
2020032314.25.08.20,	1,	1,	1,	1,	1,	1,	1
2020032314.25.13.20,	1,	1,	1,	1,	1,	1,	1
2020032314.25.18.20,	1,	1,	1,	1,	1,	1,	1
