time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032021.21.32.71,	0,	0,	0,	0,	0,	0,	0
2020032021.21.37.71,	0,	0,	0,	0,	0,	0,	0
2020032021.21.42.71,	0,	0,	0,	0,	0,	0,	0
2020032021.21.47.71,	0,	0,	0,	0,	0,	0,	0
2020032021.21.52.71,	0,	0,	0,	0,	0,	0,	0
2020032021.21.57.72,	0,	0,	0,	0,	0,	0,	0
2020032021.22.02.71,	0,	0,	0,	0,	0,	0,	0
2020032021.22.07.71,	0,	0,	0,	0,	0,	0,	0
2020032021.22.12.71,	0,	0,	0,	0,	0,	0,	0
2020032021.22.17.71,	0,	0,	0,	0,	0,	0,	0
2020032021.22.22.71,	0,	0,	0,	0,	0,	0,	0
2020032021.22.27.71,	0,	0,	0,	0,	0,	0,	0
2020032021.22.32.72,	0,	0,	0,	0,	0,	0,	0
2020032021.22.37.72,	0,	0,	0,	0,	0,	0,	0
2020032021.22.42.72,	0,	0,	0,	0,	0,	0,	0
2020032021.22.47.72,	0,	0,	0,	0,	0,	0,	0
2020032021.22.52.72,	0,	0,	0,	0,	0,	0,	0
2020032021.22.57.72,	0,	0,	0,	0,	0,	0,	0
2020032021.23.02.72,	0,	0,	0,	1,	0,	0,	0
2020032021.23.07.72,	1,	1,	1,	1,	1,	1,	1
2020032021.23.12.72,	1,	1,	1,	1,	1,	1,	1
2020032021.23.17.72,	1,	1,	1,	1,	1,	1,	1
2020032021.23.22.73,	1,	1,	1,	1,	1,	1,	1
2020032021.23.27.73,	1,	1,	1,	1,	1,	1,	1
2020032021.23.32.73,	1,	1,	1,	1,	1,	1,	1
2020032021.23.37.73,	1,	1,	1,	1,	1,	1,	1
2020032021.23.42.73,	1,	1,	1,	1,	1,	1,	1
2020032021.23.47.73,	1,	1,	1,	1,	1,	1,	1
2020032021.23.52.73,	1,	1,	1,	1,	1,	1,	1
2020032021.23.57.73,	1,	1,	1,	1,	1,	1,	1
2020032021.24.02.73,	1,	1,	1,	1,	1,	1,	1
2020032021.24.07.73,	1,	1,	1,	1,	1,	1,	1
2020032021.24.12.73,	1,	1,	1,	1,	1,	1,	1
2020032021.24.17.73,	1,	1,	1,	1,	1,	1,	1
2020032021.24.22.73,	1,	0,	1,	1,	0,	0,	1
2020032021.24.27.73,	0,	0,	0,	0,	0,	0,	0
2020032021.24.32.73,	0,	0,	0,	0,	0,	0,	0
2020032021.24.37.73,	0,	0,	0,	0,	0,	0,	0
2020032021.24.42.73,	0,	0,	0,	0,	0,	0,	0
2020032021.24.47.73,	0,	0,	0,	0,	0,	0,	0
2020032021.24.52.73,	0,	0,	0,	0,	0,	0,	0
2020032021.24.57.73,	0,	0,	0,	0,	0,	0,	0
2020032021.25.02.73,	0,	0,	0,	0,	0,	0,	0
2020032021.25.07.73,	0,	0,	0,	0,	0,	0,	0
2020032021.25.12.73,	0,	0,	0,	0,	0,	0,	0
2020032021.25.17.73,	0,	0,	0,	0,	0,	0,	0
2020032021.25.22.73,	0,	0,	0,	0,	0,	0,	0
2020032021.25.27.73,	0,	0,	0,	0,	0,	0,	0
2020032021.25.32.73,	0,	0,	0,	0,	0,	0,	0
2020032021.25.37.73,	0,	0,	0,	0,	0,	0,	0
2020032021.25.42.74,	0,	0,	0,	0,	0,	0,	0
2020032021.25.47.74,	0,	0,	0,	0,	0,	0,	0
2020032021.25.52.74,	0,	0,	0,	0,	0,	0,	0
2020032021.25.57.74,	0,	0,	0,	0,	0,	0,	0
2020032021.26.02.74,	0,	0,	0,	0,	0,	0,	0
2020032021.26.07.74,	0,	0,	0,	0,	0,	0,	0
2020032021.26.12.74,	0,	0,	0,	0,	0,	0,	0
2020032021.26.17.74,	0,	0,	0,	0,	0,	0,	0
2020032021.26.22.74,	0,	0,	0,	0,	0,	0,	0
2020032021.26.27.74,	0,	0,	0,	0,	0,	0,	0
2020032021.26.32.74,	0,	0,	0,	0,	0,	0,	0
2020032021.26.37.74,	0,	0,	0,	0,	0,	0,	0
2020032021.26.42.74,	0,	0,	0,	0,	0,	0,	0
2020032021.26.47.74,	0,	0,	0,	0,	0,	0,	0
2020032021.26.52.74,	0,	0,	0,	0,	0,	0,	0
2020032021.26.57.74,	0,	0,	0,	0,	0,	0,	0
2020032021.27.02.74,	0,	0,	0,	0,	0,	0,	0
2020032021.27.07.74,	0,	0,	0,	0,	0,	0,	0
2020032021.27.12.74,	0,	0,	0,	0,	0,	0,	0
2020032021.27.17.74,	0,	0,	0,	0,	0,	0,	0
2020032021.27.22.74,	0,	0,	0,	0,	0,	0,	0
2020032021.27.27.74,	0,	0,	0,	0,	0,	0,	0
2020032021.27.32.74,	0,	0,	0,	0,	0,	0,	0
2020032021.27.37.74,	0,	0,	0,	0,	0,	0,	0
2020032021.27.42.74,	0,	0,	0,	0,	0,	0,	0
2020032021.27.47.74,	0,	0,	0,	0,	0,	0,	0
2020032021.27.52.74,	0,	0,	0,	0,	0,	0,	0
2020032021.27.57.74,	0,	0,	0,	0,	0,	0,	0
2020032021.28.02.74,	0,	0,	0,	0,	0,	0,	0
2020032021.28.07.74,	0,	0,	0,	0,	0,	0,	0
2020032021.28.12.74,	0,	0,	0,	0,	0,	0,	0
2020032021.28.17.74,	0,	0,	0,	0,	0,	0,	0
2020032021.28.22.74,	0,	0,	0,	0,	0,	0,	0
2020032021.28.27.74,	0,	0,	0,	0,	0,	0,	0
2020032021.28.32.74,	0,	0,	0,	0,	0,	0,	0
2020032021.28.37.74,	0,	0,	0,	0,	0,	0,	0
2020032021.28.42.74,	0,	0,	0,	0,	0,	0,	0
2020032021.28.47.74,	0,	0,	0,	0,	0,	0,	0
2020032021.28.52.74,	0,	0,	0,	0,	0,	0,	0
2020032021.28.57.74,	0,	0,	0,	0,	0,	0,	0
