time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032001.21.26.78,	0,	0,	0,	0,	0,	0,	0
2020032001.21.31.78,	0,	0,	0,	0,	0,	0,	0
2020032001.21.36.78,	0,	0,	0,	0,	0,	0,	0
2020032001.21.41.78,	0,	0,	0,	0,	0,	0,	0
2020032001.21.46.78,	0,	0,	0,	0,	0,	0,	0
2020032001.21.51.78,	0,	0,	0,	0,	0,	0,	0
2020032001.21.56.78,	0,	0,	0,	0,	0,	0,	0
2020032001.22.01.78,	0,	0,	0,	0,	0,	0,	0
2020032001.22.06.78,	0,	0,	0,	0,	0,	0,	0
2020032001.22.11.78,	0,	0,	0,	0,	0,	0,	0
2020032001.22.16.78,	0,	0,	0,	0,	0,	0,	0
2020032001.22.21.78,	0,	0,	0,	0,	0,	0,	0
2020032001.22.26.78,	0,	0,	0,	0,	0,	0,	0
2020032001.22.31.78,	0,	0,	0,	0,	0,	0,	0
2020032001.22.36.78,	0,	0,	0,	0,	0,	0,	0
2020032001.22.41.78,	0,	0,	0,	0,	0,	0,	0
2020032001.22.46.78,	0,	0,	0,	0,	0,	0,	0
2020032001.22.51.78,	0,	0,	0,	0,	0,	0,	0
2020032001.22.56.78,	0,	0,	0,	0,	0,	0,	0
2020032001.23.01.78,	0,	0,	0,	0,	0,	0,	0
2020032001.23.06.78,	0,	0,	0,	0,	0,	0,	0
2020032001.23.11.78,	0,	0,	0,	0,	0,	0,	0
2020032001.23.16.78,	0,	0,	0,	0,	0,	0,	0
2020032001.23.21.78,	0,	0,	0,	0,	0,	0,	0
2020032001.23.26.78,	0,	0,	0,	0,	0,	0,	0
2020032001.23.31.78,	0,	0,	0,	0,	0,	0,	0
2020032001.23.36.78,	0,	0,	0,	0,	0,	0,	0
2020032001.23.41.78,	0,	0,	0,	0,	0,	0,	0
2020032001.23.46.78,	0,	0,	0,	0,	0,	0,	0
2020032001.23.51.78,	0,	0,	0,	0,	0,	0,	0
2020032001.23.56.79,	0,	0,	0,	0,	0,	0,	0
2020032001.24.01.78,	0,	0,	0,	0,	0,	0,	0
2020032001.24.06.78,	0,	0,	0,	0,	0,	0,	0
2020032001.24.11.79,	0,	0,	0,	0,	0,	0,	0
2020032001.24.16.79,	0,	0,	0,	0,	0,	0,	0
2020032001.24.21.79,	0,	0,	0,	0,	0,	0,	0
2020032001.24.26.79,	0,	0,	0,	0,	0,	0,	0
2020032001.24.31.79,	0,	0,	0,	0,	0,	0,	0
2020032001.24.36.79,	0,	0,	0,	0,	0,	0,	0
2020032001.24.41.79,	0,	0,	0,	0,	0,	0,	0
2020032001.24.46.79,	0,	0,	0,	0,	0,	0,	0
2020032001.24.51.79,	0,	0,	0,	0,	0,	0,	0
2020032001.24.56.79,	0,	0,	0,	0,	0,	0,	0
2020032001.25.01.79,	0,	0,	0,	0,	0,	0,	0
2020032001.25.06.79,	0,	0,	0,	0,	0,	0,	0
2020032001.25.11.79,	0,	0,	0,	0,	0,	0,	0
2020032001.25.16.79,	0,	0,	0,	0,	0,	0,	0
2020032001.25.21.79,	0,	0,	0,	0,	0,	0,	0
2020032001.25.26.79,	0,	0,	0,	0,	0,	0,	0
2020032001.25.31.79,	0,	0,	0,	0,	0,	0,	0
2020032001.25.36.79,	0,	0,	0,	0,	0,	0,	0
2020032001.25.41.79,	0,	0,	0,	0,	0,	0,	0
2020032001.25.46.79,	0,	0,	0,	0,	0,	0,	0
2020032001.25.51.79,	0,	0,	0,	0,	0,	0,	0
2020032001.25.56.79,	0,	0,	0,	0,	0,	0,	0
2020032001.26.01.79,	0,	0,	0,	0,	0,	0,	0
2020032001.26.06.79,	0,	0,	0,	0,	0,	0,	0
2020032001.26.11.79,	0,	0,	0,	0,	0,	0,	0
2020032001.26.16.79,	0,	0,	0,	0,	0,	0,	0
2020032001.26.21.79,	0,	0,	0,	0,	0,	0,	0
2020032001.26.26.79,	0,	0,	0,	0,	0,	0,	0
2020032001.26.31.79,	0,	0,	0,	0,	0,	0,	0
2020032001.26.36.79,	0,	0,	0,	0,	0,	0,	0
2020032001.26.41.79,	0,	0,	0,	0,	0,	0,	0
2020032001.26.46.79,	0,	0,	0,	0,	0,	0,	0
2020032001.26.51.79,	0,	0,	0,	0,	0,	0,	0
2020032001.26.56.79,	0,	0,	0,	0,	0,	0,	0
2020032001.27.01.80,	0,	0,	0,	0,	0,	0,	0
2020032001.27.06.80,	0,	0,	0,	0,	0,	0,	0
2020032001.27.11.80,	0,	0,	0,	0,	0,	0,	0
2020032001.27.16.80,	0,	0,	0,	0,	0,	0,	0
2020032001.27.21.80,	0,	0,	0,	0,	0,	0,	0
2020032001.27.26.80,	0,	0,	0,	0,	0,	0,	0
2020032001.27.31.80,	0,	0,	0,	0,	0,	0,	0
2020032001.27.36.80,	0,	0,	0,	0,	0,	0,	0
2020032001.27.41.80,	0,	0,	0,	0,	0,	0,	0
2020032001.27.46.80,	0,	0,	0,	0,	0,	0,	0
2020032001.27.51.80,	0,	0,	0,	0,	0,	0,	0
2020032001.27.56.80,	0,	0,	0,	0,	0,	0,	0
2020032001.28.01.80,	0,	0,	0,	0,	0,	0,	0
2020032001.28.06.80,	0,	0,	0,	0,	0,	0,	0
2020032001.28.11.80,	0,	0,	0,	0,	0,	0,	0
2020032001.28.16.80,	0,	0,	0,	0,	0,	0,	0
2020032001.28.21.80,	0,	0,	0,	0,	0,	0,	0
2020032001.28.26.80,	0,	0,	0,	0,	0,	0,	0
2020032001.28.31.80,	0,	0,	0,	0,	0,	0,	0
2020032001.28.36.80,	0,	0,	0,	0,	0,	0,	0
2020032001.28.41.80,	0,	0,	0,	0,	0,	0,	0
2020032001.28.46.80,	0,	0,	0,	0,	0,	0,	0
2020032001.28.51.80,	0,	0,	0,	0,	0,	0,	0
2020032001.28.56.80,	0,	0,	0,	0,	0,	0,	0
2020032001.29.01.80,	0,	0,	0,	0,	0,	0,	0
2020032001.29.06.80,	0,	0,	0,	0,	0,	0,	0
2020032001.29.11.80,	0,	0,	0,	0,	0,	0,	0
2020032001.29.16.80,	0,	0,	0,	0,	0,	0,	0
2020032001.29.21.80,	0,	0,	0,	0,	0,	0,	0
2020032001.29.26.80,	0,	0,	0,	0,	0,	0,	0
2020032001.29.31.80,	0,	0,	0,	0,	0,	0,	0
2020032001.29.36.80,	0,	0,	0,	0,	0,	0,	0
2020032001.29.41.80,	0,	0,	0,	0,	0,	0,	0
2020032001.29.46.80,	0,	0,	0,	0,	0,	0,	0
2020032001.29.51.80,	0,	0,	0,	0,	0,	0,	0
2020032001.29.56.80,	0,	0,	0,	0,	0,	0,	0
2020032001.30.01.80,	0,	0,	0,	0,	0,	0,	0
2020032001.30.06.80,	0,	0,	0,	0,	0,	0,	0
2020032001.30.11.80,	0,	0,	0,	0,	0,	0,	0
2020032001.30.16.80,	0,	0,	0,	0,	0,	0,	0
2020032001.30.21.80,	0,	0,	0,	0,	0,	0,	0
2020032001.30.26.80,	0,	0,	0,	0,	0,	0,	0
2020032001.30.31.80,	0,	0,	0,	0,	0,	0,	0
2020032001.30.36.80,	0,	0,	0,	0,	0,	0,	0
2020032001.30.41.80,	0,	0,	0,	0,	0,	0,	0
2020032001.30.46.80,	0,	0,	0,	0,	0,	0,	0
2020032001.30.51.80,	0,	0,	0,	0,	0,	0,	0
2020032001.30.56.81,	0,	0,	0,	0,	0,	0,	0
2020032001.31.01.81,	0,	0,	0,	0,	0,	0,	0
2020032001.31.06.81,	0,	0,	0,	0,	0,	0,	0
2020032001.31.11.81,	0,	0,	0,	0,	0,	0,	0
2020032001.31.16.81,	0,	0,	0,	0,	0,	0,	0
2020032001.31.21.81,	0,	0,	0,	0,	0,	0,	0
2020032001.31.26.81,	0,	0,	0,	0,	0,	0,	0
2020032001.31.31.81,	0,	0,	0,	0,	0,	0,	0
2020032001.31.36.81,	0,	0,	0,	0,	0,	0,	0
2020032001.31.41.81,	0,	0,	0,	0,	0,	0,	0
2020032001.31.46.81,	0,	0,	0,	0,	0,	0,	0
2020032001.31.51.81,	0,	0,	0,	0,	0,	0,	0
2020032001.31.56.81,	0,	0,	0,	0,	0,	0,	0
2020032001.32.01.81,	0,	0,	0,	0,	0,	0,	0
2020032001.32.06.81,	0,	0,	0,	0,	0,	0,	0
2020032001.32.11.81,	0,	0,	0,	0,	0,	0,	0
2020032001.32.16.81,	0,	0,	0,	0,	0,	0,	0
2020032001.32.21.81,	0,	0,	0,	0,	0,	0,	0
2020032001.32.26.81,	0,	0,	0,	0,	0,	0,	0
2020032001.32.31.81,	0,	0,	0,	0,	0,	0,	0
2020032001.32.36.81,	0,	0,	0,	0,	0,	0,	0
2020032001.32.41.81,	0,	0,	0,	0,	0,	0,	0
2020032001.32.46.81,	0,	0,	0,	0,	0,	0,	0
2020032001.32.51.82,	0,	0,	0,	0,	0,	0,	0
2020032001.32.56.82,	0,	0,	0,	0,	0,	0,	0
2020032001.33.01.82,	0,	0,	0,	0,	0,	0,	0
2020032001.33.06.82,	0,	0,	0,	0,	0,	0,	0
2020032001.33.11.82,	0,	0,	0,	0,	0,	0,	0
2020032001.33.16.82,	0,	0,	0,	0,	0,	0,	0
2020032001.33.21.82,	0,	0,	0,	0,	0,	0,	0
