time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032608.56.25.03,	0,	0,	0,	0,	0,	0,	0
2020032608.56.30.03,	0,	0,	0,	0,	0,	0,	0
2020032608.56.35.03,	0,	0,	0,	0,	0,	0,	0
2020032608.56.40.03,	0,	0,	0,	0,	0,	0,	0
2020032608.56.45.03,	0,	0,	0,	0,	0,	0,	0
2020032608.56.50.03,	0,	0,	0,	0,	0,	0,	0
2020032608.56.55.03,	0,	0,	0,	0,	0,	0,	0
2020032608.57.00.03,	0,	0,	0,	0,	0,	0,	0
2020032608.57.05.03,	0,	0,	0,	0,	0,	0,	0
2020032608.57.10.03,	0,	0,	0,	0,	0,	0,	0
2020032608.57.15.03,	0,	0,	0,	0,	0,	0,	0
2020032608.57.20.03,	0,	0,	0,	0,	0,	0,	0
2020032608.57.25.03,	0,	0,	0,	0,	0,	0,	0
2020032608.57.30.03,	0,	0,	0,	0,	0,	0,	0
2020032608.57.35.03,	0,	0,	0,	0,	0,	0,	0
2020032608.57.40.03,	0,	0,	0,	0,	0,	0,	0
2020032608.57.45.03,	0,	0,	0,	0,	0,	0,	0
2020032608.57.50.03,	0,	0,	0,	0,	0,	0,	0
2020032608.57.55.03,	0,	0,	0,	0,	0,	0,	0
2020032608.58.00.03,	0,	0,	0,	0,	0,	0,	0
2020032608.58.05.03,	0,	0,	0,	0,	0,	0,	0
2020032608.58.10.03,	0,	0,	0,	0,	0,	0,	0
2020032608.58.15.03,	0,	0,	0,	0,	0,	0,	0
2020032608.58.20.03,	0,	0,	0,	0,	0,	0,	0
2020032608.58.25.03,	0,	0,	0,	0,	0,	0,	0
2020032608.58.30.03,	0,	0,	0,	0,	0,	0,	0
2020032608.58.35.03,	0,	0,	0,	0,	0,	0,	0
2020032608.58.40.03,	0,	0,	0,	0,	0,	0,	0
2020032608.58.45.03,	0,	0,	0,	0,	0,	0,	0
2020032608.58.50.03,	0,	0,	0,	0,	0,	0,	0
2020032608.58.55.03,	0,	0,	0,	0,	0,	0,	0
2020032608.59.00.03,	0,	0,	0,	0,	0,	0,	0
2020032608.59.05.03,	0,	0,	0,	0,	0,	0,	0
2020032608.59.10.03,	0,	0,	0,	0,	0,	0,	0
2020032608.59.15.03,	0,	0,	0,	0,	0,	0,	0
2020032608.59.20.03,	0,	0,	0,	0,	0,	0,	0
2020032608.59.25.03,	0,	0,	0,	0,	0,	0,	0
