time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032603.56.23.95,	0,	0,	0,	0,	0,	0,	0
2020032603.56.28.95,	0,	0,	0,	0,	0,	0,	0
2020032603.56.33.95,	0,	0,	0,	0,	0,	0,	0
2020032603.56.38.95,	0,	0,	0,	0,	0,	0,	0
2020032603.56.43.95,	0,	0,	0,	0,	0,	0,	0
2020032603.56.48.95,	0,	0,	0,	0,	0,	0,	0
2020032603.56.53.95,	0,	0,	0,	0,	0,	0,	0
2020032603.56.58.95,	0,	0,	0,	0,	0,	0,	0
2020032603.57.03.95,	0,	0,	0,	0,	0,	0,	0
2020032603.57.08.95,	0,	0,	0,	0,	0,	0,	0
2020032603.57.13.95,	0,	0,	0,	0,	0,	0,	0
2020032603.57.18.95,	0,	0,	0,	0,	0,	0,	0
2020032603.57.23.95,	0,	0,	0,	0,	0,	0,	0
2020032603.57.28.95,	0,	0,	0,	0,	0,	0,	0
2020032603.57.33.95,	0,	0,	0,	0,	0,	0,	0
2020032603.57.38.95,	0,	0,	0,	0,	0,	0,	0
2020032603.57.43.95,	0,	0,	0,	0,	0,	0,	0
2020032603.57.48.95,	0,	0,	0,	0,	0,	0,	0
2020032603.57.53.95,	0,	0,	0,	0,	0,	0,	0
2020032603.57.58.95,	0,	0,	0,	0,	0,	0,	0
2020032603.58.03.95,	0,	0,	0,	0,	0,	0,	0
2020032603.58.08.95,	0,	0,	0,	0,	0,	0,	0
2020032603.58.13.95,	0,	0,	0,	0,	0,	0,	0
2020032603.58.18.95,	0,	0,	0,	0,	0,	0,	0
2020032603.58.23.96,	0,	0,	0,	0,	0,	0,	0
2020032603.58.28.96,	0,	0,	0,	0,	0,	0,	0
2020032603.58.33.96,	0,	0,	0,	0,	0,	0,	0
2020032603.58.38.96,	0,	0,	0,	0,	0,	0,	0
2020032603.58.43.96,	0,	0,	0,	0,	0,	0,	0
2020032603.58.48.96,	0,	0,	0,	0,	0,	0,	0
2020032603.58.53.96,	0,	0,	0,	0,	0,	0,	0
2020032603.58.58.96,	0,	0,	0,	0,	0,	0,	0
2020032603.59.03.96,	0,	0,	0,	0,	0,	0,	0
2020032603.59.08.96,	0,	0,	0,	0,	0,	0,	0
2020032603.59.13.96,	0,	0,	0,	0,	0,	0,	0
2020032603.59.18.96,	0,	0,	0,	0,	0,	0,	0
2020032603.59.23.96,	0,	0,	0,	0,	0,	0,	0
2020032603.59.28.96,	0,	0,	0,	0,	0,	0,	0
2020032603.59.33.96,	0,	0,	0,	0,	0,	0,	0
2020032603.59.38.96,	0,	0,	0,	0,	0,	0,	0
2020032603.59.43.96,	0,	0,	0,	0,	0,	0,	0
2020032603.59.48.96,	0,	0,	0,	0,	0,	0,	0
2020032603.59.53.96,	0,	0,	0,	0,	0,	0,	0
2020032603.59.58.96,	0,	0,	0,	0,	0,	0,	0
2020032604.00.03.96,	0,	0,	0,	0,	0,	0,	0
2020032604.00.08.96,	0,	0,	0,	0,	0,	0,	0
2020032604.00.13.96,	0,	0,	0,	0,	0,	0,	0
2020032604.00.18.96,	0,	0,	0,	0,	0,	0,	0
2020032604.00.23.96,	0,	0,	0,	0,	0,	0,	0
2020032604.00.28.96,	0,	0,	0,	0,	0,	0,	0
2020032604.00.33.96,	0,	0,	0,	0,	0,	0,	0
2020032604.00.38.96,	0,	0,	0,	0,	0,	0,	0
2020032604.00.43.96,	0,	0,	0,	0,	0,	0,	0
2020032604.00.48.96,	0,	0,	0,	0,	0,	0,	0
2020032604.00.53.96,	0,	0,	0,	0,	0,	0,	0
2020032604.00.58.96,	0,	0,	0,	0,	0,	0,	0
2020032604.01.03.96,	0,	0,	0,	0,	0,	0,	0
2020032604.01.08.96,	0,	0,	0,	0,	0,	0,	0
2020032604.01.13.96,	0,	0,	0,	0,	0,	0,	0
2020032604.01.18.96,	0,	0,	0,	0,	0,	0,	0
2020032604.01.23.97,	0,	0,	0,	0,	0,	0,	0
2020032604.01.28.96,	0,	0,	0,	0,	0,	0,	0
2020032604.01.33.97,	0,	0,	0,	0,	0,	0,	0
2020032604.01.38.97,	0,	0,	0,	0,	0,	0,	0
2020032604.01.43.97,	0,	0,	0,	0,	0,	0,	0
2020032604.01.48.97,	0,	0,	0,	0,	0,	0,	0
2020032604.01.53.97,	0,	0,	0,	0,	0,	0,	0
