time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032623.56.28.42,	0,	0,	0,	0,	0,	0,	0
2020032623.56.33.42,	0,	0,	0,	0,	0,	0,	0
2020032623.56.38.42,	0,	0,	0,	0,	0,	0,	0
2020032623.56.43.42,	0,	0,	0,	0,	0,	0,	0
2020032623.56.48.42,	0,	0,	0,	0,	0,	0,	0
2020032623.56.53.42,	0,	0,	0,	0,	0,	0,	0
2020032623.56.58.42,	0,	0,	0,	0,	0,	0,	0
2020032623.57.03.42,	0,	0,	0,	0,	0,	0,	0
2020032623.57.08.42,	0,	0,	0,	0,	0,	0,	0
2020032623.57.13.42,	0,	0,	0,	0,	0,	0,	0
2020032623.57.18.42,	0,	0,	0,	0,	0,	0,	0
2020032623.57.23.42,	0,	0,	0,	0,	0,	0,	0
2020032623.57.28.42,	0,	0,	0,	0,	0,	0,	0
2020032623.57.33.42,	0,	0,	0,	0,	0,	0,	0
2020032623.57.38.42,	0,	0,	0,	0,	0,	0,	0
2020032623.57.43.42,	0,	0,	0,	0,	0,	0,	0
2020032623.57.48.42,	0,	0,	0,	0,	0,	0,	0
2020032623.57.53.42,	0,	0,	0,	0,	0,	0,	0
2020032623.57.58.42,	0,	0,	0,	0,	0,	0,	0
2020032623.58.03.42,	0,	0,	0,	0,	0,	0,	0
2020032623.58.08.43,	0,	0,	0,	0,	0,	0,	0
2020032623.58.13.42,	0,	0,	0,	0,	0,	0,	0
2020032623.58.18.43,	0,	0,	0,	0,	0,	0,	0
2020032623.58.23.42,	0,	0,	0,	0,	0,	0,	0
2020032623.58.28.43,	0,	0,	0,	0,	0,	0,	0
2020032623.58.33.43,	0,	0,	0,	0,	0,	0,	0
2020032623.58.38.43,	0,	0,	0,	0,	0,	0,	0
2020032623.58.43.43,	0,	0,	0,	0,	0,	0,	0
2020032623.58.48.43,	0,	0,	0,	0,	0,	0,	0
2020032623.58.53.43,	0,	0,	0,	0,	0,	0,	0
2020032623.58.58.43,	0,	0,	0,	0,	0,	0,	0
2020032623.59.03.43,	0,	0,	0,	0,	0,	0,	0
