time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032223.21.44.57,	0,	0,	0,	0,	0,	0,	0
2020032223.21.49.57,	0,	0,	0,	0,	0,	0,	0
2020032223.21.54.57,	0,	0,	0,	0,	0,	0,	0
2020032223.21.59.57,	0,	0,	0,	0,	0,	0,	0
2020032223.22.04.57,	0,	0,	0,	0,	0,	0,	0
2020032223.22.09.57,	0,	0,	0,	0,	0,	0,	0
2020032223.22.14.57,	0,	0,	0,	0,	0,	0,	0
2020032223.22.19.57,	0,	0,	0,	0,	0,	0,	0
2020032223.22.24.57,	0,	0,	0,	0,	0,	0,	0
2020032223.22.29.57,	0,	0,	0,	0,	0,	0,	0
2020032223.22.34.57,	0,	0,	0,	0,	0,	0,	0
2020032223.22.39.58,	0,	0,	0,	0,	0,	0,	0
2020032223.22.44.57,	0,	0,	0,	0,	0,	0,	0
2020032223.22.49.57,	0,	0,	0,	0,	0,	0,	0
2020032223.22.54.57,	0,	0,	0,	0,	0,	0,	0
2020032223.22.59.57,	0,	0,	0,	0,	0,	0,	0
2020032223.23.04.57,	0,	0,	0,	0,	0,	0,	0
2020032223.23.09.57,	0,	0,	0,	0,	0,	0,	0
2020032223.23.14.58,	0,	0,	0,	0,	0,	0,	0
2020032223.23.19.57,	0,	0,	0,	0,	0,	0,	0
2020032223.23.24.57,	0,	0,	0,	0,	0,	0,	0
2020032223.23.29.58,	0,	0,	0,	0,	0,	0,	0
2020032223.23.34.58,	0,	0,	0,	0,	0,	0,	0
2020032223.23.39.58,	0,	0,	0,	0,	0,	0,	0
2020032223.23.44.58,	0,	0,	0,	0,	0,	0,	0
2020032223.23.49.58,	0,	0,	0,	0,	0,	0,	0
2020032223.23.54.58,	0,	0,	0,	0,	0,	0,	0
2020032223.23.59.58,	0,	0,	0,	0,	0,	0,	0
2020032223.24.04.58,	0,	0,	0,	0,	0,	0,	0
2020032223.24.09.58,	0,	0,	0,	0,	0,	0,	0
2020032223.24.14.58,	0,	0,	0,	0,	0,	0,	0
2020032223.24.19.58,	0,	0,	0,	0,	0,	0,	0
2020032223.24.24.58,	0,	0,	0,	0,	0,	0,	0
2020032223.24.29.58,	0,	0,	0,	0,	0,	0,	0
2020032223.24.34.58,	0,	0,	0,	0,	0,	0,	0
2020032223.24.39.58,	0,	0,	0,	0,	0,	0,	0
2020032223.24.44.58,	0,	0,	0,	0,	0,	0,	0
2020032223.24.49.58,	0,	0,	0,	0,	0,	0,	0
2020032223.24.54.58,	0,	0,	0,	0,	0,	0,	0
2020032223.24.59.58,	0,	0,	0,	0,	0,	0,	0
2020032223.25.04.58,	0,	0,	0,	0,	0,	0,	0
2020032223.25.09.58,	0,	0,	0,	0,	0,	0,	0
2020032223.25.14.58,	0,	0,	0,	0,	0,	0,	0
2020032223.25.19.58,	0,	0,	0,	0,	0,	0,	0
2020032223.25.24.59,	0,	0,	0,	0,	0,	0,	0
2020032223.25.29.58,	0,	0,	0,	0,	0,	0,	0
2020032223.25.34.59,	0,	0,	0,	0,	0,	0,	0
2020032223.25.39.59,	0,	0,	0,	0,	0,	0,	0
2020032223.25.44.59,	0,	0,	0,	0,	0,	0,	0
2020032223.25.49.59,	0,	0,	0,	0,	0,	0,	0
2020032223.25.54.59,	0,	0,	0,	0,	0,	0,	0
2020032223.25.59.59,	0,	0,	0,	0,	0,	0,	0
2020032223.26.04.59,	0,	0,	0,	0,	0,	0,	0
2020032223.26.09.59,	0,	0,	0,	0,	0,	0,	0
2020032223.26.14.59,	0,	0,	0,	0,	0,	0,	0
2020032223.26.19.59,	0,	0,	0,	0,	0,	0,	0
2020032223.26.24.59,	0,	0,	0,	0,	0,	0,	0
2020032223.26.29.59,	0,	0,	0,	0,	0,	0,	0
2020032223.26.34.59,	0,	0,	0,	0,	0,	0,	0
2020032223.26.39.59,	0,	0,	0,	0,	0,	0,	0
2020032223.26.44.59,	0,	0,	0,	0,	0,	0,	0
2020032223.26.49.59,	0,	0,	0,	0,	0,	0,	0
2020032223.26.54.59,	0,	0,	0,	0,	0,	0,	0
2020032223.26.59.59,	0,	0,	0,	0,	0,	0,	0
2020032223.27.04.59,	0,	0,	0,	0,	0,	0,	0
2020032223.27.09.59,	0,	0,	0,	0,	0,	0,	0
2020032223.27.14.59,	0,	0,	0,	0,	0,	0,	0
2020032223.27.19.59,	0,	0,	0,	0,	0,	0,	0
2020032223.27.24.60,	0,	0,	0,	0,	0,	0,	0
2020032223.27.29.60,	0,	0,	0,	0,	0,	0,	0
2020032223.27.34.60,	0,	0,	0,	0,	0,	0,	0
2020032223.27.39.60,	0,	0,	0,	0,	0,	0,	0
2020032223.27.44.60,	0,	0,	0,	0,	0,	0,	0
2020032223.27.49.60,	0,	0,	0,	0,	0,	0,	0
2020032223.27.54.60,	0,	0,	0,	0,	0,	0,	0
2020032223.27.59.60,	0,	0,	0,	0,	0,	0,	0
2020032223.28.04.60,	0,	0,	0,	0,	0,	0,	0
2020032223.28.09.60,	0,	0,	0,	0,	0,	0,	0
2020032223.28.14.60,	0,	0,	0,	0,	0,	0,	0
2020032223.28.19.60,	0,	0,	0,	0,	0,	0,	0
2020032223.28.24.60,	0,	0,	0,	0,	0,	0,	0
2020032223.28.29.60,	0,	0,	0,	0,	0,	0,	0
2020032223.28.34.60,	0,	0,	0,	0,	0,	0,	0
2020032223.28.39.60,	0,	0,	0,	0,	0,	0,	0
2020032223.28.44.60,	0,	0,	0,	0,	0,	0,	0
2020032223.28.49.60,	0,	0,	0,	0,	0,	0,	0
2020032223.28.54.60,	0,	0,	0,	0,	0,	0,	0
2020032223.28.59.60,	0,	0,	0,	0,	0,	0,	0
2020032223.29.04.60,	0,	0,	0,	0,	0,	0,	0
2020032223.29.09.60,	0,	0,	0,	0,	0,	0,	0
2020032223.29.14.60,	0,	0,	0,	0,	0,	0,	0
2020032223.29.19.60,	0,	0,	0,	0,	0,	0,	0
2020032223.29.24.60,	0,	0,	0,	0,	0,	0,	0
2020032223.29.29.60,	0,	0,	0,	0,	0,	0,	0
2020032223.29.34.61,	0,	0,	0,	0,	0,	0,	0
2020032223.29.39.61,	0,	0,	0,	0,	0,	0,	0
2020032223.29.44.61,	0,	0,	0,	0,	0,	0,	0
2020032223.29.49.61,	0,	0,	0,	0,	0,	0,	0
2020032223.29.54.61,	0,	0,	0,	0,	0,	0,	0
2020032223.29.59.61,	0,	0,	0,	0,	0,	0,	0
2020032223.30.04.61,	0,	0,	0,	0,	0,	0,	0
2020032223.30.09.61,	0,	0,	0,	0,	0,	0,	0
2020032223.30.14.61,	0,	0,	0,	0,	0,	0,	0
2020032223.30.19.61,	0,	0,	0,	0,	0,	0,	0
2020032223.30.24.61,	0,	0,	0,	0,	0,	0,	0
2020032223.30.29.61,	0,	0,	0,	0,	0,	0,	0
2020032223.30.34.61,	0,	0,	0,	0,	0,	0,	0
2020032223.30.39.61,	0,	0,	0,	0,	0,	0,	0
2020032223.30.44.61,	0,	0,	0,	0,	0,	0,	0
2020032223.30.49.61,	0,	0,	0,	0,	0,	0,	0
2020032223.30.54.61,	0,	0,	0,	0,	0,	0,	0
2020032223.30.59.61,	0,	0,	0,	0,	0,	0,	0
2020032223.31.04.61,	0,	0,	0,	0,	0,	0,	0
2020032223.31.09.61,	0,	0,	0,	0,	0,	0,	0
2020032223.31.14.61,	0,	0,	0,	0,	0,	0,	0
2020032223.31.19.61,	0,	0,	0,	0,	0,	0,	0
2020032223.31.24.61,	0,	0,	0,	0,	0,	0,	0
2020032223.31.29.61,	0,	0,	0,	0,	0,	0,	0
2020032223.31.34.61,	0,	0,	0,	0,	0,	0,	0
2020032223.31.39.61,	0,	0,	0,	0,	0,	0,	0
2020032223.31.44.61,	0,	0,	0,	0,	0,	0,	0
2020032223.31.49.61,	0,	0,	0,	0,	0,	0,	0
2020032223.31.54.61,	0,	0,	0,	0,	0,	0,	0
2020032223.31.59.61,	0,	0,	0,	0,	0,	0,	0
2020032223.32.04.61,	0,	0,	0,	0,	0,	0,	0
2020032223.32.09.61,	0,	0,	0,	0,	0,	0,	0
2020032223.32.14.61,	0,	0,	0,	0,	0,	0,	0
2020032223.32.19.62,	0,	0,	0,	0,	0,	0,	0
2020032223.32.24.61,	0,	0,	0,	0,	0,	0,	0
2020032223.32.29.62,	0,	0,	0,	0,	0,	0,	0
2020032223.32.34.62,	0,	0,	0,	0,	0,	0,	0
2020032223.32.39.62,	0,	0,	0,	0,	0,	0,	0
2020032223.32.44.62,	0,	0,	0,	0,	0,	0,	0
2020032223.32.49.62,	0,	0,	0,	0,	0,	0,	0
2020032223.32.54.62,	0,	0,	0,	0,	0,	0,	0
2020032223.32.59.62,	0,	0,	0,	0,	0,	0,	0
2020032223.33.04.62,	0,	0,	0,	0,	0,	0,	0
2020032223.33.09.62,	0,	0,	0,	0,	0,	0,	0
2020032223.33.14.62,	0,	0,	0,	0,	0,	0,	0
2020032223.33.19.62,	0,	0,	0,	0,	0,	0,	0
2020032223.33.24.62,	0,	0,	0,	0,	0,	0,	0
2020032223.33.29.62,	0,	0,	0,	0,	0,	0,	0
2020032223.33.34.62,	0,	0,	0,	0,	0,	0,	0
2020032223.33.39.62,	0,	0,	0,	0,	0,	0,	0
2020032223.33.44.62,	0,	0,	0,	0,	0,	0,	0
2020032223.33.49.62,	0,	0,	0,	0,	0,	0,	0
2020032223.33.54.62,	0,	0,	0,	0,	0,	0,	0
2020032223.33.59.62,	0,	0,	0,	0,	0,	0,	0
2020032223.34.04.62,	0,	0,	0,	0,	0,	0,	0
2020032223.34.09.62,	0,	0,	0,	0,	0,	0,	0
2020032223.34.14.62,	0,	0,	0,	0,	0,	0,	0
2020032223.34.19.62,	0,	0,	0,	0,	0,	0,	0
2020032223.34.24.62,	0,	0,	0,	0,	0,	0,	0
2020032223.34.29.62,	0,	0,	0,	0,	0,	0,	0
2020032223.34.34.62,	0,	0,	0,	0,	0,	0,	0
2020032223.34.39.62,	0,	0,	0,	0,	0,	0,	0
2020032223.34.44.62,	0,	0,	0,	0,	0,	0,	0
2020032223.34.49.62,	0,	0,	0,	0,	0,	0,	0
2020032223.34.54.62,	0,	0,	0,	0,	0,	0,	0
2020032223.34.59.63,	0,	0,	0,	0,	0,	0,	0
2020032223.35.04.63,	0,	0,	0,	0,	0,	0,	0
2020032223.35.09.63,	0,	0,	0,	0,	0,	0,	0
2020032223.35.14.63,	0,	0,	0,	0,	0,	0,	0
2020032223.35.19.63,	0,	0,	0,	0,	0,	0,	0
2020032223.35.24.63,	0,	0,	0,	0,	0,	0,	0
2020032223.35.29.63,	0,	0,	0,	0,	0,	0,	0
2020032223.35.34.63,	0,	0,	0,	0,	0,	0,	0
2020032223.35.39.63,	0,	0,	0,	0,	0,	0,	0
2020032223.35.44.63,	0,	0,	0,	0,	0,	0,	0
2020032223.35.49.63,	0,	0,	0,	0,	0,	0,	0
2020032223.35.54.63,	0,	0,	0,	0,	0,	0,	0
2020032223.35.59.63,	0,	0,	0,	0,	0,	0,	0
2020032223.36.04.63,	0,	0,	0,	0,	0,	0,	0
2020032223.36.09.63,	0,	0,	0,	0,	0,	0,	0
2020032223.36.14.63,	0,	0,	0,	0,	0,	0,	0
2020032223.36.19.63,	0,	0,	0,	0,	0,	0,	0
2020032223.36.24.63,	0,	0,	0,	0,	0,	0,	0
2020032223.36.29.64,	0,	0,	0,	0,	0,	0,	0
2020032223.36.34.64,	0,	0,	0,	0,	0,	0,	0
2020032223.36.39.64,	0,	0,	0,	0,	0,	0,	0
2020032223.36.44.64,	0,	0,	0,	0,	0,	0,	0
2020032223.36.49.64,	0,	0,	0,	0,	0,	0,	0
2020032223.36.54.64,	0,	0,	0,	0,	0,	0,	0
2020032223.36.59.64,	0,	0,	0,	0,	0,	0,	0
2020032223.37.04.64,	0,	0,	0,	0,	0,	0,	0
2020032223.37.09.64,	0,	0,	0,	0,	0,	0,	0
2020032223.37.14.64,	0,	0,	0,	0,	0,	0,	0
2020032223.37.19.64,	0,	0,	0,	0,	0,	0,	0
2020032223.37.24.64,	0,	0,	0,	0,	0,	0,	0
2020032223.37.29.64,	0,	0,	0,	0,	0,	0,	0
2020032223.37.34.64,	0,	0,	0,	0,	0,	0,	0
2020032223.37.39.64,	0,	0,	0,	0,	0,	0,	0
2020032223.37.44.64,	0,	0,	0,	0,	0,	0,	0
2020032223.37.49.64,	0,	0,	0,	0,	0,	0,	0
2020032223.37.54.65,	0,	0,	0,	0,	0,	0,	0
2020032223.37.59.65,	0,	0,	0,	0,	0,	0,	0
2020032223.38.04.65,	0,	0,	0,	0,	0,	0,	0
2020032223.38.09.65,	0,	0,	0,	0,	0,	0,	0
2020032223.38.14.65,	0,	0,	0,	0,	0,	0,	0
2020032223.38.19.65,	0,	0,	0,	0,	0,	0,	0
2020032223.38.24.65,	0,	0,	0,	0,	0,	0,	0
2020032223.38.29.65,	0,	0,	0,	0,	0,	0,	0
2020032223.38.34.65,	0,	0,	0,	0,	0,	0,	0
2020032223.38.39.65,	0,	0,	0,	0,	0,	0,	0
2020032223.38.44.65,	0,	0,	0,	0,	0,	0,	0
2020032223.38.49.65,	0,	0,	0,	0,	0,	0,	0
2020032223.38.54.65,	0,	0,	0,	0,	0,	0,	0
2020032223.38.59.65,	0,	0,	0,	0,	0,	0,	0
2020032223.39.04.65,	0,	0,	0,	0,	0,	0,	0
2020032223.39.09.65,	0,	0,	0,	0,	0,	0,	0
2020032223.39.14.65,	0,	0,	0,	0,	0,	0,	0
2020032223.39.19.65,	0,	0,	0,	0,	0,	0,	0
2020032223.39.24.65,	0,	0,	0,	0,	0,	0,	0
2020032223.39.29.65,	0,	0,	0,	0,	0,	0,	0
2020032223.39.34.65,	0,	0,	0,	0,	0,	0,	0
2020032223.39.39.65,	0,	0,	0,	0,	0,	0,	0
2020032223.39.44.65,	0,	0,	0,	0,	0,	0,	0
2020032223.39.49.65,	0,	0,	0,	0,	0,	0,	0
2020032223.39.54.65,	0,	0,	0,	0,	0,	0,	0
2020032223.39.59.65,	0,	0,	0,	0,	0,	0,	0
2020032223.40.04.65,	0,	0,	0,	0,	0,	0,	0
2020032223.40.09.65,	0,	0,	0,	0,	0,	0,	0
2020032223.40.14.65,	0,	0,	0,	0,	0,	0,	0
2020032223.40.19.65,	0,	0,	0,	0,	0,	0,	0
2020032223.40.24.65,	0,	0,	0,	0,	0,	0,	0
2020032223.40.29.65,	0,	0,	0,	0,	0,	0,	0
2020032223.40.34.66,	0,	0,	0,	0,	0,	0,	0
2020032223.40.39.65,	0,	0,	0,	0,	0,	0,	0
2020032223.40.44.66,	0,	0,	0,	0,	0,	0,	0
2020032223.40.49.66,	0,	0,	0,	0,	0,	0,	0
2020032223.40.54.66,	0,	0,	0,	0,	0,	0,	0
2020032223.40.59.66,	0,	0,	0,	0,	0,	0,	0
2020032223.41.04.66,	0,	0,	0,	0,	0,	0,	0
2020032223.41.09.66,	0,	0,	0,	0,	0,	0,	0
2020032223.41.14.66,	0,	0,	0,	0,	0,	0,	0
2020032223.41.19.66,	0,	0,	0,	0,	0,	0,	0
2020032223.41.24.66,	0,	0,	0,	0,	0,	0,	0
2020032223.41.29.66,	0,	0,	0,	0,	0,	0,	0
2020032223.41.34.66,	0,	0,	0,	0,	0,	0,	0
2020032223.41.39.66,	0,	0,	0,	0,	0,	0,	0
2020032223.41.44.66,	0,	0,	0,	0,	0,	0,	0
2020032223.41.49.66,	0,	0,	0,	0,	0,	0,	0
2020032223.41.54.66,	0,	0,	0,	0,	0,	0,	0
2020032223.41.59.66,	0,	0,	0,	0,	0,	0,	0
2020032223.42.04.66,	0,	0,	0,	0,	0,	0,	0
2020032223.42.09.66,	0,	0,	0,	0,	0,	0,	0
2020032223.42.14.66,	0,	0,	0,	0,	0,	0,	0
2020032223.42.19.66,	0,	0,	0,	0,	0,	0,	0
2020032223.42.24.66,	0,	0,	0,	0,	0,	0,	0
2020032223.42.29.66,	0,	0,	0,	0,	0,	0,	0
2020032223.42.34.66,	0,	0,	0,	0,	0,	0,	0
2020032223.42.39.66,	0,	0,	0,	0,	0,	0,	0
2020032223.42.44.66,	0,	0,	0,	0,	0,	0,	0
2020032223.42.49.67,	0,	0,	0,	0,	0,	0,	0
2020032223.42.54.66,	0,	0,	0,	0,	0,	0,	0
2020032223.42.59.67,	0,	0,	0,	0,	0,	0,	0
2020032223.43.04.66,	0,	0,	0,	0,	0,	0,	0
2020032223.43.09.67,	0,	0,	0,	0,	0,	0,	0
2020032223.43.14.67,	0,	0,	0,	0,	0,	0,	0
2020032223.43.19.67,	0,	0,	0,	0,	0,	0,	0
2020032223.43.24.67,	0,	0,	0,	0,	0,	0,	0
2020032223.43.29.67,	0,	0,	0,	0,	0,	0,	0
2020032223.43.34.67,	0,	0,	0,	0,	0,	0,	0
2020032223.43.39.67,	0,	0,	0,	0,	0,	0,	0
2020032223.43.44.67,	0,	0,	0,	0,	0,	0,	0
2020032223.43.49.67,	0,	0,	0,	0,	0,	0,	0
2020032223.43.54.67,	0,	0,	0,	0,	0,	0,	0
2020032223.43.59.67,	0,	0,	0,	0,	0,	0,	0
2020032223.44.04.67,	0,	0,	0,	0,	0,	0,	0
2020032223.44.09.67,	0,	0,	0,	0,	0,	0,	0
2020032223.44.14.67,	0,	0,	0,	0,	0,	0,	0
2020032223.44.19.67,	0,	0,	0,	0,	0,	0,	0
2020032223.44.24.67,	0,	0,	0,	0,	0,	0,	0
2020032223.44.29.67,	0,	0,	0,	0,	0,	0,	0
2020032223.44.34.67,	0,	0,	0,	0,	0,	0,	0
2020032223.44.39.67,	0,	0,	0,	0,	0,	0,	0
2020032223.44.44.67,	0,	0,	0,	0,	0,	0,	0
2020032223.44.49.67,	0,	0,	0,	0,	0,	0,	0
2020032223.44.54.67,	0,	0,	0,	0,	0,	0,	0
2020032223.44.59.67,	0,	0,	0,	0,	0,	0,	0
2020032223.45.04.67,	0,	0,	0,	0,	0,	0,	0
2020032223.45.09.67,	0,	0,	0,	0,	0,	0,	0
2020032223.45.14.67,	0,	0,	0,	0,	0,	0,	0
2020032223.45.19.67,	0,	0,	0,	0,	0,	0,	0
2020032223.45.24.67,	0,	0,	0,	0,	0,	0,	0
2020032223.45.29.67,	0,	0,	0,	0,	0,	0,	0
2020032223.45.34.67,	0,	0,	0,	0,	0,	0,	0
2020032223.45.39.67,	0,	0,	0,	0,	0,	0,	0
2020032223.45.44.67,	0,	0,	0,	0,	0,	0,	0
2020032223.45.49.67,	0,	0,	0,	0,	0,	0,	0
2020032223.45.54.67,	0,	0,	0,	0,	0,	0,	0
2020032223.45.59.67,	0,	0,	0,	0,	0,	0,	0
