time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032208.21.41.06,	0,	0,	0,	0,	0,	0,	0
2020032208.21.46.06,	0,	0,	0,	0,	0,	0,	0
2020032208.21.51.06,	0,	0,	0,	0,	0,	0,	0
2020032208.21.56.06,	0,	0,	0,	0,	0,	0,	0
2020032208.22.01.06,	0,	0,	0,	0,	0,	0,	0
2020032208.22.06.06,	0,	0,	0,	0,	0,	0,	0
2020032208.22.11.06,	0,	0,	0,	0,	0,	0,	0
2020032208.22.16.06,	0,	0,	0,	0,	0,	0,	0
2020032208.22.21.06,	0,	0,	0,	0,	0,	0,	0
2020032208.22.26.06,	0,	0,	0,	0,	0,	0,	0
2020032208.22.31.06,	0,	0,	0,	0,	0,	0,	0
2020032208.22.36.06,	0,	0,	0,	0,	0,	0,	0
2020032208.22.41.06,	0,	0,	0,	0,	0,	0,	0
2020032208.22.46.06,	0,	0,	0,	0,	0,	0,	0
2020032208.22.51.06,	0,	0,	0,	0,	0,	0,	0
2020032208.22.56.06,	0,	0,	0,	0,	0,	0,	0
2020032208.23.01.06,	0,	0,	0,	0,	0,	0,	0
2020032208.23.06.06,	0,	0,	0,	0,	0,	0,	0
2020032208.23.11.06,	0,	0,	0,	0,	0,	0,	0
2020032208.23.16.06,	0,	0,	0,	0,	0,	0,	0
2020032208.23.21.06,	0,	0,	0,	0,	0,	0,	0
2020032208.23.26.06,	0,	0,	0,	0,	0,	0,	0
2020032208.23.31.06,	0,	0,	0,	0,	0,	0,	0
2020032208.23.36.06,	0,	0,	0,	0,	0,	0,	0
2020032208.23.41.06,	0,	0,	0,	0,	0,	0,	0
2020032208.23.46.06,	0,	0,	0,	0,	0,	0,	0
2020032208.23.51.06,	0,	0,	0,	0,	0,	0,	0
2020032208.23.56.06,	0,	0,	0,	0,	0,	0,	0
2020032208.24.01.06,	0,	0,	0,	0,	0,	0,	0
2020032208.24.06.06,	0,	0,	0,	0,	0,	0,	0
2020032208.24.11.06,	0,	0,	0,	0,	0,	0,	0
2020032208.24.16.06,	0,	0,	0,	0,	0,	0,	0
2020032208.24.21.06,	0,	0,	0,	0,	0,	0,	0
2020032208.24.26.06,	0,	0,	0,	0,	0,	0,	0
2020032208.24.31.06,	0,	0,	0,	0,	0,	0,	0
2020032208.24.36.06,	0,	0,	0,	0,	0,	0,	0
2020032208.24.41.06,	0,	0,	0,	0,	0,	0,	0
2020032208.24.46.06,	0,	0,	0,	0,	0,	0,	0
2020032208.24.51.06,	0,	0,	0,	0,	0,	0,	0
2020032208.24.56.06,	0,	0,	0,	0,	0,	0,	0
2020032208.25.01.06,	0,	0,	0,	0,	0,	0,	0
2020032208.25.06.06,	0,	0,	0,	0,	0,	0,	0
2020032208.25.11.06,	0,	0,	0,	0,	0,	0,	0
2020032208.25.16.06,	0,	0,	0,	0,	0,	0,	0
2020032208.25.21.06,	0,	0,	0,	0,	0,	0,	0
2020032208.25.26.07,	0,	0,	0,	0,	0,	0,	0
2020032208.25.31.07,	0,	0,	0,	0,	0,	0,	0
2020032208.25.36.07,	0,	0,	0,	0,	0,	0,	0
2020032208.25.41.07,	0,	0,	0,	0,	0,	0,	0
2020032208.25.46.07,	0,	0,	0,	0,	0,	0,	0
2020032208.25.51.07,	0,	0,	0,	0,	0,	0,	0
2020032208.25.56.07,	0,	0,	0,	0,	0,	0,	0
2020032208.26.01.07,	0,	0,	0,	0,	0,	0,	0
2020032208.26.06.07,	0,	0,	0,	0,	0,	0,	0
2020032208.26.11.07,	0,	0,	0,	0,	0,	0,	0
2020032208.26.16.07,	0,	0,	0,	0,	0,	0,	0
2020032208.26.21.07,	0,	0,	0,	0,	0,	0,	0
2020032208.26.26.07,	0,	0,	0,	0,	0,	0,	0
2020032208.26.31.07,	0,	0,	0,	0,	0,	0,	0
2020032208.26.36.07,	0,	0,	0,	0,	0,	0,	0
2020032208.26.41.07,	0,	0,	0,	0,	0,	0,	0
2020032208.26.46.07,	0,	0,	0,	0,	0,	0,	0
2020032208.26.51.07,	0,	0,	0,	0,	0,	0,	0
2020032208.26.56.07,	0,	0,	0,	0,	0,	0,	0
2020032208.27.01.07,	0,	0,	0,	0,	0,	0,	0
2020032208.27.06.07,	0,	0,	0,	0,	0,	0,	0
2020032208.27.11.07,	0,	0,	0,	0,	0,	0,	0
2020032208.27.16.07,	0,	0,	0,	0,	0,	0,	0
2020032208.27.21.07,	0,	0,	0,	0,	0,	0,	0
2020032208.27.26.07,	0,	0,	0,	0,	0,	0,	0
2020032208.27.31.07,	0,	0,	0,	0,	0,	0,	0
2020032208.27.36.07,	0,	0,	0,	0,	0,	0,	0
2020032208.27.41.07,	0,	0,	0,	0,	0,	0,	0
2020032208.27.46.07,	0,	0,	0,	0,	0,	0,	0
2020032208.27.51.07,	0,	0,	0,	0,	0,	0,	0
2020032208.27.56.07,	0,	0,	0,	0,	0,	0,	0
2020032208.28.01.07,	0,	0,	0,	0,	0,	0,	0
2020032208.28.06.08,	0,	0,	0,	0,	0,	0,	0
2020032208.28.11.08,	0,	0,	0,	0,	0,	0,	0
2020032208.28.16.08,	0,	0,	0,	0,	0,	0,	0
2020032208.28.21.08,	0,	0,	0,	0,	0,	0,	0
2020032208.28.26.08,	0,	0,	0,	0,	0,	0,	0
2020032208.28.31.08,	0,	0,	0,	0,	0,	0,	0
2020032208.28.36.08,	0,	0,	0,	0,	0,	0,	0
2020032208.28.41.08,	0,	0,	0,	0,	0,	0,	0
2020032208.28.46.08,	0,	0,	0,	0,	0,	0,	0
2020032208.28.51.08,	0,	0,	0,	0,	0,	0,	0
2020032208.28.56.08,	0,	0,	0,	0,	0,	0,	0
2020032208.29.01.08,	0,	0,	0,	0,	0,	0,	0
2020032208.29.06.08,	0,	0,	0,	0,	0,	0,	0
2020032208.29.11.08,	0,	0,	0,	0,	0,	0,	0
2020032208.29.16.08,	0,	0,	0,	0,	0,	0,	0
2020032208.29.21.08,	0,	0,	0,	0,	0,	0,	0
2020032208.29.26.08,	0,	0,	0,	0,	0,	0,	0
2020032208.29.31.08,	0,	0,	0,	0,	0,	0,	0
2020032208.29.36.08,	0,	0,	0,	0,	0,	0,	0
2020032208.29.41.08,	0,	0,	0,	0,	0,	0,	0
2020032208.29.46.08,	0,	0,	0,	0,	0,	0,	0
