time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032112.21.36.31,	0,	0,	0,	0,	0,	0,	0
2020032112.21.41.31,	0,	0,	0,	0,	0,	0,	0
2020032112.21.46.31,	0,	0,	0,	0,	0,	0,	0
2020032112.21.51.31,	0,	0,	0,	0,	0,	0,	0
2020032112.21.56.31,	0,	0,	0,	0,	0,	0,	0
2020032112.22.01.31,	0,	0,	0,	0,	0,	0,	0
2020032112.22.06.31,	0,	0,	0,	0,	0,	0,	0
2020032112.22.11.31,	0,	0,	0,	0,	0,	0,	0
2020032112.22.16.31,	0,	0,	0,	0,	0,	0,	0
2020032112.22.21.31,	0,	0,	0,	0,	0,	0,	0
2020032112.22.26.31,	0,	0,	0,	1,	1,	0,	0
2020032112.22.31.31,	1,	1,	1,	1,	1,	1,	1
2020032112.22.36.31,	1,	1,	1,	1,	1,	1,	1
2020032112.22.41.31,	1,	1,	1,	1,	1,	1,	1
2020032112.22.46.31,	1,	1,	1,	1,	1,	1,	1
2020032112.22.51.31,	1,	1,	1,	1,	1,	1,	1
2020032112.22.56.31,	1,	1,	1,	1,	1,	1,	1
2020032112.23.01.31,	1,	1,	1,	1,	1,	1,	1
2020032112.23.06.31,	1,	1,	1,	1,	1,	1,	1
2020032112.23.11.31,	1,	1,	1,	1,	1,	1,	1
2020032112.23.16.31,	1,	1,	1,	1,	1,	1,	1
2020032112.23.21.31,	1,	1,	1,	1,	0,	1,	1
2020032112.23.26.31,	0,	1,	0,	1,	0,	0,	0
2020032112.23.31.31,	0,	0,	0,	0,	0,	0,	0
2020032112.23.36.31,	0,	0,	0,	0,	0,	0,	0
2020032112.23.41.31,	0,	0,	0,	0,	0,	0,	0
2020032112.23.46.31,	0,	0,	0,	0,	0,	0,	0
2020032112.23.51.31,	0,	0,	0,	0,	0,	0,	0
2020032112.23.56.31,	0,	0,	0,	0,	0,	0,	0
2020032112.24.01.31,	0,	0,	0,	0,	0,	0,	0
2020032112.24.06.31,	0,	0,	0,	0,	0,	0,	0
2020032112.24.11.31,	0,	0,	0,	0,	0,	0,	0
2020032112.24.16.31,	0,	0,	0,	0,	0,	0,	0
2020032112.24.21.31,	0,	0,	0,	0,	0,	0,	0
2020032112.24.26.32,	0,	0,	0,	0,	0,	0,	0
2020032112.24.31.31,	0,	0,	0,	0,	0,	0,	0
2020032112.24.36.32,	0,	0,	0,	0,	0,	0,	0
2020032112.24.41.32,	0,	0,	0,	0,	0,	0,	0
2020032112.24.46.32,	0,	0,	0,	0,	0,	0,	0
2020032112.24.51.32,	0,	0,	0,	0,	0,	0,	0
2020032112.24.56.32,	0,	0,	0,	0,	0,	0,	0
2020032112.25.01.32,	0,	0,	0,	0,	0,	0,	0
2020032112.25.06.32,	0,	0,	0,	0,	0,	0,	0
2020032112.25.11.32,	0,	0,	0,	0,	0,	0,	0
2020032112.25.16.32,	0,	0,	0,	0,	0,	0,	0
2020032112.25.21.32,	0,	0,	0,	0,	0,	0,	0
2020032112.25.26.32,	0,	0,	0,	0,	0,	0,	0
2020032112.25.31.32,	0,	0,	0,	0,	0,	0,	0
2020032112.25.36.32,	0,	0,	0,	0,	0,	0,	0
2020032112.25.41.32,	0,	0,	0,	0,	0,	0,	0
2020032112.25.46.32,	0,	0,	0,	0,	0,	0,	0
2020032112.25.51.32,	0,	0,	0,	0,	0,	0,	0
2020032112.25.56.32,	0,	0,	0,	0,	0,	0,	0
2020032112.26.01.32,	0,	0,	0,	0,	0,	0,	0
2020032112.26.06.32,	0,	0,	0,	0,	0,	0,	0
2020032112.26.11.32,	0,	0,	0,	0,	0,	0,	0
2020032112.26.16.32,	0,	0,	0,	0,	0,	0,	0
2020032112.26.21.32,	0,	0,	0,	0,	0,	0,	0
2020032112.26.26.33,	0,	0,	0,	0,	0,	0,	0
2020032112.26.31.33,	0,	0,	0,	0,	0,	0,	0
2020032112.26.36.33,	0,	0,	0,	0,	0,	0,	0
2020032112.26.41.33,	0,	0,	0,	0,	0,	0,	0
2020032112.26.46.33,	0,	0,	0,	0,	0,	0,	0
2020032112.26.51.33,	0,	0,	0,	0,	0,	0,	0
2020032112.26.56.33,	0,	0,	0,	0,	0,	0,	0
2020032112.27.01.33,	0,	0,	0,	0,	0,	0,	0
2020032112.27.06.33,	0,	0,	0,	0,	0,	0,	0
2020032112.27.11.33,	0,	0,	0,	0,	0,	0,	0
2020032112.27.16.33,	0,	0,	0,	0,	0,	0,	0
2020032112.27.21.33,	0,	0,	0,	0,	0,	0,	0
2020032112.27.26.33,	0,	0,	0,	0,	0,	0,	0
2020032112.27.31.33,	0,	0,	0,	0,	0,	0,	0
2020032112.27.36.33,	0,	0,	0,	0,	0,	0,	0
2020032112.27.41.33,	0,	0,	0,	0,	0,	0,	0
2020032112.27.46.33,	0,	0,	0,	0,	0,	0,	0
2020032112.27.51.33,	0,	0,	0,	0,	0,	0,	0
2020032112.27.56.33,	0,	0,	0,	0,	0,	0,	0
