time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032117.21.37.50,	0,	0,	0,	0,	0,	0,	0
2020032117.21.42.50,	0,	0,	0,	0,	0,	0,	0
2020032117.21.47.51,	0,	0,	0,	0,	0,	0,	0
2020032117.21.52.51,	0,	0,	0,	0,	0,	0,	0
2020032117.21.57.51,	0,	0,	0,	0,	0,	0,	0
2020032117.22.02.51,	0,	0,	0,	0,	0,	0,	0
2020032117.22.07.51,	0,	0,	0,	0,	0,	0,	0
2020032117.22.12.51,	0,	0,	0,	0,	0,	0,	0
2020032117.22.17.51,	0,	0,	0,	0,	0,	0,	0
2020032117.22.22.51,	0,	0,	0,	0,	0,	0,	0
2020032117.22.27.51,	0,	0,	0,	0,	0,	0,	0
2020032117.22.32.51,	0,	0,	0,	0,	0,	0,	0
2020032117.22.37.51,	0,	0,	0,	0,	0,	0,	0
2020032117.22.42.51,	0,	0,	0,	0,	0,	0,	0
2020032117.22.47.51,	0,	0,	0,	0,	0,	0,	0
2020032117.22.52.51,	0,	0,	0,	0,	0,	0,	0
2020032117.22.57.51,	0,	0,	0,	0,	0,	0,	0
2020032117.23.02.51,	0,	0,	0,	0,	0,	0,	0
2020032117.23.07.51,	0,	0,	0,	0,	0,	0,	0
2020032117.23.12.51,	0,	0,	0,	0,	0,	0,	0
2020032117.23.17.51,	0,	0,	0,	0,	0,	0,	0
2020032117.23.22.51,	0,	0,	0,	0,	0,	0,	0
2020032117.23.27.51,	0,	0,	0,	0,	0,	0,	0
2020032117.23.32.51,	0,	0,	0,	0,	0,	0,	0
2020032117.23.37.51,	0,	0,	0,	0,	0,	0,	0
2020032117.23.42.51,	0,	0,	0,	0,	0,	0,	0
2020032117.23.47.52,	0,	0,	0,	0,	0,	0,	0
2020032117.23.52.52,	0,	0,	0,	0,	0,	0,	0
2020032117.23.57.52,	0,	0,	0,	0,	0,	0,	0
2020032117.24.02.52,	0,	0,	0,	0,	0,	0,	0
2020032117.24.07.52,	0,	0,	0,	0,	0,	0,	0
2020032117.24.12.52,	0,	0,	0,	0,	0,	0,	0
2020032117.24.17.52,	0,	0,	0,	0,	0,	0,	0
2020032117.24.22.52,	0,	0,	0,	0,	0,	0,	0
2020032117.24.27.52,	0,	0,	0,	0,	0,	0,	0
2020032117.24.32.52,	0,	0,	0,	0,	0,	0,	0
2020032117.24.37.52,	0,	0,	0,	0,	0,	0,	0
2020032117.24.42.52,	0,	0,	0,	0,	0,	0,	0
2020032117.24.47.52,	0,	0,	0,	0,	0,	0,	0
2020032117.24.52.52,	0,	0,	0,	0,	0,	0,	0
2020032117.24.57.52,	0,	0,	0,	0,	0,	0,	0
