time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032410.21.53.63,	0,	0,	0,	0,	0,	0,	0
2020032410.21.58.63,	0,	0,	0,	0,	0,	0,	0
2020032410.22.03.63,	0,	0,	0,	0,	0,	0,	0
2020032410.22.08.63,	0,	0,	0,	0,	0,	0,	0
2020032410.22.13.63,	0,	0,	0,	0,	0,	0,	0
2020032410.22.18.63,	0,	0,	0,	0,	0,	0,	0
2020032410.22.23.63,	0,	0,	0,	0,	0,	0,	0
2020032410.22.28.63,	0,	0,	0,	0,	0,	0,	0
2020032410.22.33.63,	0,	0,	0,	0,	0,	0,	0
2020032410.22.38.63,	0,	0,	0,	0,	0,	0,	0
2020032410.22.43.63,	0,	0,	0,	0,	0,	0,	0
2020032410.22.48.63,	0,	0,	0,	0,	0,	0,	0
2020032410.22.53.63,	0,	0,	0,	1,	0,	0,	1
2020032410.22.58.63,	1,	1,	1,	1,	1,	1,	1
2020032410.23.03.63,	1,	1,	1,	1,	1,	1,	1
2020032410.23.08.63,	1,	1,	1,	1,	1,	1,	1
2020032410.23.13.63,	1,	1,	1,	1,	1,	1,	1
2020032410.23.18.63,	1,	1,	1,	1,	1,	1,	1
2020032410.23.23.63,	1,	1,	1,	1,	1,	1,	1
2020032410.23.28.63,	1,	1,	1,	1,	1,	1,	1
2020032410.23.33.63,	1,	1,	1,	1,	1,	1,	1
2020032410.23.38.63,	1,	1,	1,	1,	1,	1,	1
2020032410.23.43.63,	1,	1,	1,	1,	1,	1,	1
2020032410.23.48.63,	1,	1,	1,	1,	1,	1,	1
2020032410.23.53.63,	1,	1,	1,	1,	1,	1,	1
2020032410.23.58.63,	1,	1,	1,	1,	1,	1,	1
2020032410.24.03.63,	1,	1,	1,	1,	0,	1,	0
2020032410.24.08.63,	0,	0,	0,	0,	0,	0,	0
2020032410.24.13.63,	0,	0,	0,	0,	0,	0,	0
2020032410.24.18.63,	0,	0,	0,	0,	0,	0,	0
2020032410.24.23.64,	0,	0,	0,	0,	0,	0,	0
2020032410.24.28.64,	0,	0,	0,	0,	0,	0,	0
2020032410.24.33.64,	0,	0,	0,	0,	0,	0,	0
2020032410.24.38.64,	0,	1,	0,	1,	1,	1,	1
2020032410.24.43.64,	1,	1,	1,	1,	1,	1,	1
2020032410.24.48.64,	1,	1,	1,	1,	1,	1,	1
2020032410.24.53.64,	1,	1,	1,	1,	1,	1,	1
2020032410.24.58.64,	1,	1,	1,	1,	1,	1,	1
