time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032421.56.16.68,	0,	0,	0,	0,	0,	0,	0
2020032421.56.21.68,	0,	0,	0,	0,	0,	0,	0
2020032421.56.26.68,	0,	0,	0,	0,	0,	0,	0
2020032421.56.31.68,	0,	0,	0,	0,	0,	0,	0
2020032421.56.36.68,	0,	0,	0,	0,	0,	0,	0
2020032421.56.41.68,	0,	0,	0,	0,	0,	0,	0
2020032421.56.46.68,	0,	0,	0,	0,	0,	0,	0
2020032421.56.51.68,	0,	0,	0,	0,	0,	0,	0
2020032421.56.56.68,	0,	0,	0,	0,	0,	0,	0
2020032421.57.01.68,	0,	0,	0,	0,	0,	0,	0
2020032421.57.06.68,	0,	0,	0,	0,	0,	0,	0
2020032421.57.11.68,	0,	0,	0,	0,	0,	0,	0
2020032421.57.16.68,	0,	0,	0,	0,	0,	0,	0
2020032421.57.21.68,	0,	0,	0,	0,	0,	0,	0
2020032421.57.26.68,	0,	0,	0,	0,	0,	0,	0
2020032421.57.31.68,	0,	0,	0,	0,	0,	0,	0
2020032421.57.36.68,	0,	0,	0,	0,	0,	0,	0
2020032421.57.41.68,	0,	0,	0,	0,	0,	0,	0
2020032421.57.46.68,	0,	0,	0,	0,	0,	0,	0
2020032421.57.51.68,	0,	0,	0,	0,	0,	0,	0
2020032421.57.56.68,	0,	0,	0,	0,	0,	0,	0
2020032421.58.01.68,	0,	0,	0,	0,	0,	0,	0
2020032421.58.06.68,	0,	0,	0,	0,	0,	0,	0
2020032421.58.11.68,	0,	0,	0,	0,	0,	0,	0
2020032421.58.16.68,	0,	0,	0,	0,	0,	0,	0
2020032421.58.21.68,	0,	0,	0,	0,	0,	0,	0
2020032421.58.26.68,	0,	0,	0,	0,	0,	0,	0
2020032421.58.31.68,	0,	0,	0,	0,	0,	0,	0
2020032421.58.36.69,	0,	0,	0,	0,	0,	0,	0
2020032421.58.41.68,	0,	0,	0,	0,	0,	0,	0
2020032421.58.46.69,	0,	0,	0,	0,	0,	0,	0
2020032421.58.51.69,	0,	0,	0,	0,	0,	0,	0
2020032421.58.56.69,	0,	0,	0,	0,	0,	0,	0
2020032421.59.01.69,	0,	0,	0,	0,	0,	0,	0
2020032421.59.06.69,	0,	0,	0,	0,	0,	0,	0
2020032421.59.11.69,	0,	0,	0,	0,	0,	0,	0
2020032421.59.16.69,	0,	0,	0,	0,	0,	0,	0
2020032421.59.21.69,	0,	0,	0,	0,	0,	0,	0
2020032421.59.26.69,	0,	0,	0,	0,	0,	0,	0
2020032421.59.31.69,	0,	0,	0,	0,	0,	0,	0
2020032421.59.36.69,	0,	0,	0,	0,	0,	0,	0
2020032421.59.41.69,	0,	0,	0,	0,	0,	0,	0
2020032421.59.46.69,	0,	0,	0,	0,	0,	0,	0
2020032421.59.51.69,	0,	0,	0,	0,	0,	0,	0
2020032421.59.56.69,	0,	0,	0,	0,	0,	0,	0
2020032422.00.01.69,	0,	0,	0,	0,	0,	0,	0
2020032422.00.06.69,	0,	0,	0,	0,	0,	0,	0
2020032422.00.11.69,	0,	0,	0,	0,	0,	0,	0
2020032422.00.16.69,	0,	0,	0,	0,	0,	0,	0
2020032422.00.21.69,	0,	0,	0,	0,	0,	0,	0
2020032422.00.26.69,	0,	0,	0,	0,	0,	0,	0
2020032422.00.31.69,	0,	0,	0,	0,	0,	0,	0
2020032422.00.36.69,	0,	0,	0,	0,	0,	0,	0
2020032422.00.41.69,	0,	0,	0,	0,	0,	0,	0
2020032422.00.46.69,	0,	0,	0,	0,	0,	0,	0
2020032422.00.51.69,	0,	0,	0,	0,	0,	0,	0
2020032422.00.56.69,	0,	0,	0,	0,	0,	0,	0
2020032422.01.01.69,	0,	0,	0,	0,	0,	0,	0
2020032422.01.06.70,	0,	0,	0,	0,	0,	0,	0
2020032422.01.11.70,	0,	0,	0,	0,	0,	0,	0
2020032422.01.16.70,	0,	0,	0,	0,	0,	0,	0
2020032422.01.21.70,	0,	0,	0,	0,	0,	0,	0
2020032422.01.26.70,	0,	0,	0,	0,	0,	0,	0
2020032422.01.31.70,	0,	0,	0,	0,	0,	0,	0
2020032422.01.36.70,	0,	0,	0,	0,	0,	0,	0
2020032422.01.41.70,	0,	0,	0,	0,	0,	0,	0
2020032422.01.46.70,	0,	0,	0,	0,	0,	0,	0
2020032422.01.51.70,	0,	0,	0,	0,	0,	0,	0
2020032422.01.56.70,	0,	0,	0,	0,	0,	0,	0
2020032422.02.01.70,	0,	0,	0,	0,	0,	0,	0
2020032422.02.06.70,	0,	0,	0,	0,	0,	0,	0
2020032422.02.11.70,	0,	0,	0,	0,	0,	0,	0
2020032422.02.16.70,	0,	0,	0,	0,	0,	0,	0
2020032422.02.21.70,	0,	0,	0,	0,	0,	0,	0
2020032422.02.26.70,	0,	0,	0,	0,	0,	0,	0
2020032422.02.31.70,	0,	0,	0,	0,	0,	0,	0
2020032422.02.36.70,	0,	0,	0,	0,	0,	0,	0
2020032422.02.41.70,	0,	0,	0,	0,	0,	0,	0
2020032422.02.46.70,	0,	0,	0,	0,	0,	0,	0
2020032422.02.51.70,	0,	0,	0,	0,	0,	0,	0
