time,	Load0,	Load1,	Load2,	Load3,	Load4,	Load5,	Load6
2020032416.56.15.51,	1,	1,	1,	1,	1,	1,	1
2020032416.56.20.51,	1,	1,	1,	1,	1,	1,	1
2020032416.56.25.51,	1,	1,	1,	1,	1,	1,	1
2020032416.56.30.51,	1,	1,	1,	1,	1,	1,	1
2020032416.56.35.51,	1,	1,	1,	1,	1,	1,	1
2020032416.56.40.51,	1,	1,	1,	1,	1,	1,	1
2020032416.56.45.51,	1,	1,	1,	1,	1,	1,	1
2020032416.56.50.51,	1,	1,	1,	1,	0,	1,	0
2020032416.56.55.51,	1,	1,	1,	1,	0,	1,	0
2020032416.57.00.51,	0,	0,	0,	0,	0,	0,	0
2020032416.57.05.51,	0,	0,	0,	0,	0,	0,	0
2020032416.57.10.51,	0,	0,	0,	0,	0,	0,	0
2020032416.57.15.51,	0,	0,	0,	0,	0,	0,	0
2020032416.57.20.51,	1,	1,	1,	0,	1,	1,	1
2020032416.57.25.51,	1,	1,	1,	1,	1,	1,	1
2020032416.57.30.51,	1,	1,	1,	1,	1,	1,	1
2020032416.57.35.51,	1,	1,	1,	1,	1,	1,	1
2020032416.57.40.51,	1,	1,	1,	1,	1,	1,	1
2020032416.57.45.51,	1,	1,	1,	1,	1,	1,	1
2020032416.57.50.51,	1,	1,	1,	1,	1,	1,	1
2020032416.57.55.51,	1,	1,	1,	1,	1,	1,	1
2020032416.58.00.51,	1,	1,	1,	1,	1,	1,	1
2020032416.58.05.51,	1,	1,	1,	1,	1,	1,	1
2020032416.58.10.51,	1,	1,	1,	1,	1,	1,	1
2020032416.58.15.52,	1,	1,	1,	1,	1,	1,	1
2020032416.58.20.51,	1,	1,	1,	1,	1,	1,	1
2020032416.58.25.52,	1,	1,	1,	1,	1,	1,	1
2020032416.58.30.52,	1,	1,	1,	1,	1,	1,	1
2020032416.58.35.52,	1,	1,	1,	1,	1,	1,	1
2020032416.58.40.52,	1,	1,	1,	1,	1,	1,	1
2020032416.58.45.52,	1,	1,	1,	1,	1,	1,	1
2020032416.58.50.52,	0,	1,	1,	1,	1,	0,	1
2020032416.58.55.52,	0,	1,	1,	1,	1,	0,	1
2020032416.59.00.52,	0,	1,	1,	1,	1,	0,	1
2020032416.59.05.52,	0,	1,	1,	1,	1,	0,	1
2020032416.59.10.52,	0,	1,	1,	1,	1,	0,	1
2020032416.59.15.52,	0,	1,	1,	1,	1,	0,	1
2020032416.59.20.52,	0,	1,	1,	1,	1,	0,	1
2020032416.59.25.52,	0,	1,	0,	1,	1,	1,	1
2020032416.59.30.52,	1,	1,	1,	1,	1,	1,	1
2020032416.59.35.52,	1,	1,	1,	1,	1,	1,	1
2020032416.59.40.52,	1,	1,	1,	1,	1,	1,	1
2020032416.59.45.52,	1,	1,	1,	1,	1,	1,	1
2020032416.59.50.52,	1,	1,	1,	1,	1,	1,	1
2020032416.59.55.53,	1,	1,	1,	1,	1,	1,	1
2020032417.00.00.53,	1,	1,	1,	1,	1,	1,	1
2020032417.00.05.53,	1,	1,	1,	1,	1,	1,	1
2020032417.00.10.53,	1,	1,	1,	1,	1,	1,	1
2020032417.00.15.53,	1,	1,	1,	1,	1,	1,	1
2020032417.00.20.53,	1,	1,	1,	1,	1,	1,	1
2020032417.00.25.53,	0,	0,	0,	1,	0,	0,	1
2020032417.00.30.53,	0,	0,	0,	0,	0,	0,	1
2020032417.00.35.53,	0,	0,	0,	0,	0,	0,	1
2020032417.00.40.53,	0,	0,	0,	0,	0,	0,	1
2020032417.00.45.53,	0,	0,	0,	0,	0,	0,	1
2020032417.00.50.53,	0,	0,	0,	0,	0,	0,	1
2020032417.00.55.53,	0,	0,	0,	0,	0,	0,	1
2020032417.01.00.53,	0,	0,	0,	1,	0,	0,	1
2020032417.01.05.53,	1,	1,	1,	1,	1,	1,	1
2020032417.01.10.53,	1,	1,	1,	1,	1,	1,	1
2020032417.01.15.53,	1,	1,	1,	1,	1,	1,	1
2020032417.01.20.53,	1,	1,	1,	1,	1,	1,	1
2020032417.01.25.53,	1,	1,	1,	1,	1,	1,	1
